規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.6,19,17.8,152.2,160.2,139.2,137.9,143.6,128.5,14.3,16.6,10.7
100～499人,18.7,19.2,17.7,152,162.1,134.2,138.5,145.7,125.8,13.5,16.4,8.4
100人以上,18.6,19.2,17.7,152.1,161.1,136.6,138.2,144.7,127.1,13.9,16.4,9.5
30～99人,18.3,19.3,17.1,142.4,157.3,123.7,131.6,143,117.3,10.8,14.3,6.4
５～29人,17.7,18.9,16.1,136.2,153.6,115.4,127,141.1,110.1,9.2,12.5,5.3
30人以上,18.5,19.2,17.5,148.7,160,131.6,135.9,144.2,123.3,12.8,15.8,8.3
５人以上,18.3,19.1,17,144.8,158.1,126,133.1,143.3,118.7,11.7,14.8,7.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
