規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,960636,1164418,619524,409567,480019,291637,377543,32024,551069,684399,327887
100～499人,713359,855583,464252,362112,421649,257833,335540,26572,351247,433934,206419
100人以上,829573,999442,538333,384415,448838,273961,355281,29134,445158,550604,264372
30～99人,505518,617531,363395,308326,377080,221090,291473,16853,197192,240451,142305
５～29人,350074,434952,249928,262316,325931,187258,249316,13000,87758,109021,62670
30人以上,717722,877919,470678,358152,426005,253514,333257,24895,359570,451914,217164
５人以上,603613,751004,394695,328407,397333,230708,307204,21203,275206,353671,163987
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年６月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
