規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.3,18.3,154.4,161.7,142.3,140.7,145.7,132.3,13.7,16,10
100～499人,19.4,20,18.4,156.4,166.8,138.3,143.6,151.3,130.2,12.8,15.5,8.1
100人以上,19.2,19.7,18.4,155.4,164.4,140.2,142.2,148.7,131.2,13.2,15.7,9
30～99人,19.2,20,18.1,147.9,162.7,129.4,137.6,149.1,123.2,10.3,13.6,6.2
５～29人,18.5,19.8,16.9,142.3,160.6,120.7,133.5,148.3,116.1,8.8,12.3,4.6
30人以上,19.2,19.8,18.3,152.9,163.8,136,140.7,148.8,128.1,12.2,15,7.9
５人以上,19,19.8,17.8,149.6,163,130.8,138.4,148.7,124,11.2,14.3,6.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
