事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成24,2012,年平均,20.5,168.7,157.7,11,13.8,82.8,80.7,2.1
５～29人,平成25,2013,年平均,20.4,168.5,157,11.5,13.5,80.2,77.9,2.3
５～29人,平成26,2014,年平均,20.3,168,156.2,11.8,13.2,79.2,76.7,2.5
５～29人,平成27,2015,年平均,20.3,169,157.1,11.9,13.2,80.9,78.1,2.8
５～29人,平成28,2016,年平均,20.2,167.9,156.2,11.7,13.1,79.4,76.7,2.7
５～29人,平成29,2017,年平均,20.2,168.4,155.8,12.6,12.8,77.9,75.3,2.6
５～29人,平成29,2017,1月,18.2,152.1,140.2,11.9,12.1,74.4,71.9,2.5
５～29人,平成29,2017,2月,20.4,169.8,157.5,12.3,12.5,76.2,73.9,2.3
５～29人,平成29,2017,3月,20.3,168.9,156.3,12.6,12.7,78.4,75.8,2.6
５～29人,平成29,2017,4月,20.9,173.6,160.8,12.8,13,80,77.3,2.7
５～29人,平成29,2017,5月,19.3,161.9,149.7,12.2,12.9,79,76.5,2.5
５～29人,平成29,2017,6月,21.3,177.2,164.8,12.4,13.4,80.6,78.2,2.4
５～29人,平成29,2017,7月,20.7,172.8,159.5,13.3,13,78.9,76.1,2.8
５～29人,平成29,2017,8月,19.5,162.6,150.4,12.2,12.6,77.2,74.5,2.7
５～29人,平成29,2017,9月,20.4,170.4,157.5,12.9,12.6,77.3,74.7,2.6
５～29人,平成29,2017,10月,20.3,170.1,157.1,13,12.8,77.6,74.8,2.8
５～29人,平成29,2017,11月,20.6,171.5,158.4,13.1,12.7,77.1,74.4,2.7
５～29人,平成29,2017,12月,20.4,170.1,157.4,12.7,12.8,78.3,75.3,3
30～99人,平成24,2012,年平均,20,169.7,154.1,15.6,15.5,89.9,87.2,2.7
30～99人,平成25,2013,年平均,19.8,168.5,152.6,15.9,15.1,86.7,84,2.7
30～99人,平成26,2014,年平均,19.7,168.2,151.9,16.3,14.9,86.1,83.4,2.7
30～99人,平成27,2015,年平均,19.6,164.7,150.2,14.5,13.9,78.9,76.2,2.7
30～99人,平成28,2016,年平均,19.7,162.8,149.7,13.1,14.1,81.9,79.4,2.5
30～99人,平成29,2017,年平均,19.6,163.4,149.8,13.6,14.1,81.4,79.2,2.2
30～99人,平成29,2017,1月,17.9,150,136.8,13.2,13.6,78.9,76.5,2.4
30～99人,平成29,2017,2月,19.8,165.5,150.5,15,14.1,81.8,79.8,2
30～99人,平成29,2017,3月,20.1,168.2,153.2,15,14.1,82.6,79.8,2.8
30～99人,平成29,2017,4月,20.3,170,155,15,14.3,82.1,79.7,2.4
30～99人,平成29,2017,5月,18.9,157.8,144.5,13.3,14.3,83.3,81,2.3
30～99人,平成29,2017,6月,20.9,172.8,159.4,13.4,14.9,85.1,82.7,2.4
30～99人,平成29,2017,7月,20,165.6,152.6,13,14.3,82.7,80.6,2.1
30～99人,平成29,2017,8月,18.8,156.3,144,12.3,14.1,81.5,79.5,2
30～99人,平成29,2017,9月,19.5,162.3,149.3,13,14.2,80.8,78.7,2.1
30～99人,平成29,2017,10月,19.7,163.6,150.4,13.2,13.9,79.7,77.7,2
30～99人,平成29,2017,11月,20.1,167,152.8,14.2,13.8,78.5,76.6,1.9
30～99人,平成29,2017,12月,19.5,162.4,149.1,13.3,13.9,80.2,77.8,2.4
100～499人,平成24,2012,年平均,19.7,165.4,149.1,16.3,14.8,92.7,88.7,4
100～499人,平成25,2013,年平均,19.4,163.2,147,16.2,14.5,90.9,86.7,4.2
100～499人,平成26,2014,年平均,19.2,162.3,145.8,16.5,14.4,90.6,86.4,4.2
100～499人,平成27,2015,年平均,19.2,162.7,146.4,16.3,14.9,90.8,87.7,3.1
100～499人,平成28,2016,年平均,19.2,162,146.2,15.8,14.9,90.3,87.2,3.1
100～499人,平成29,2017,年平均,19.3,162.2,147.1,15.1,14.7,89.7,86.7,3
