規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.5,154.2,139.5,14.7,13.1,84.2,81.5,2.7
100～499人,19.2,161.9,147.2,14.7,14.9,89.9,86.9,3
100人以上,18.8,158.1,143.4,14.7,14.1,87.5,84.6,2.9
30～99人,19.5,162.3,149.3,13,14.2,80.8,78.7,2.1
５～29人,20.4,170.4,157.5,12.9,12.6,77.3,74.7,2.6
30人以上,19.1,159.4,145.3,14.1,14.2,84.2,81.7,2.5
５人以上,19.4,162.3,148.5,13.8,13.4,80.9,78.4,2.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年９月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
