規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.9,19.3,18.3,155.9,163.1,144.1,141.2,146.2,133,14.7,16.9,11.1
100～499人,19,19.5,18.1,154.3,164.3,136.2,140.6,147.9,127.3,13.7,16.4,8.9
100人以上,19,19.4,18.2,155.1,163.7,140,140.9,147.1,130,14.2,16.6,10
30～99人,18.6,19.6,17.3,144.7,160.9,124.3,133.4,145.6,118,11.3,15.3,6.3
５～29人,18,19.4,16.4,139.3,158,117.2,130.2,145.3,112.3,9.1,12.7,4.9
30人以上,18.8,19.5,17.8,151.5,162.8,133.8,138.3,146.6,125.3,13.2,16.2,8.5
５人以上,18.6,19.4,17.3,147.7,161.4,128.1,135.8,146.2,120.8,11.9,15.2,7.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
