規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1032871,1250761,672614,412716,484984,293230,379563,33153,620155,765777,379384
100～499人,809117,970982,529329,358200,417822,255143,329604,28596,450917,553160,274186
100人以上,914815,1101995,598013,383953,449272,273400,353204,30749,530862,652723,324613
30～99人,664519,826047,463575,306310,373961,222150,288239,18071,358209,452086,241425
５～29人,457426,578438,313624,262148,324803,187694,248040,14108,195278,253635,125930
30人以上,827371,1013315,545337,356827,425070,253319,330507,26320,470544,588245,292018
５人以上,711798,886996,465812,327249,395945,230796,304744,22505,384549,491051,235016
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
