事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業，郵便業／入職率(％),運輸業，郵便業／離職率(％),卸売業，小売業／入職率(％),卸売業，小売業／離職率(％),金融業，保険業／入職率(％),金融業，保険業／離職率(％),不動産業，物品賃貸業／入職率(％),不動産業，物品賃貸業／離職率(％),学術研究，専門・技術サービス業／入職率(％),学術研究，専門・技術サービス業／離職率(％),宿泊業，飲食サービス業／入職率(％),宿泊業，飲食サービス業／離職率(％),生活関連サービス業，娯楽業／入職率(％),生活関連サービス業，娯楽業／離職率(％),教育，学習支援業／入職率(％),教育，学習支援業／離職率(％),医療，福祉／入職率(％),医療，福祉／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
５人以上,平成24,2012,年平均,1.98,2.01,1.3,1.23,1.28,1.28,0.97,1.24,1.2,1.29,1.51,1.74,1.72,1.92,1.98,2.03,1.66,1.68,2.22,1.76,3.54,3.39,2.13,2.29,3.4,3.32,2.2,2.03,1.98,1.9,2.39,2.44
５人以上,平成25,2013,年平均,2.09,2.05,1.22,1.26,1.17,1.3,1.17,4.05,1.16,1.22,1.66,1.64,1.72,1.84,1.93,1.97,1.52,1.66,2.67,1.91,4.14,3.95,2.86,2.78,3.8,3.49,2.12,2,1.71,2.12,2.44,2.23
５人以上,平成26,2014,年平均,2.12,1.98,1.25,1.18,1.2,1.2,1.37,1.66,1.37,1.06,1.7,1.59,1.81,1.79,1.7,1.74,1.8,1.71,2.47,2.09,4.28,4.02,2.6,2.34,3.39,3.28,2.06,1.89,1.6,1.82,2.47,2.29
５人以上,平成27,2015,年平均,2.26,2.19,1.29,1.17,1.33,1.34,1.41,1.59,1.61,1.6,1.9,1.79,1.93,1.97,1.76,1.65,1.99,2.02,1.8,1.36,4.34,4.26,2.78,2.79,3.71,3.64,2.56,2.42,2.3,1.83,2.66,2.56
５人以上,平成28,2016,年平均,2.35,2.21,1.2,1.12,1.27,1.2,1.27,1,1.58,1.47,1.83,1.9,2.14,1.98,1.8,1.64,2.32,1.96,1.6,1.41,4.89,4.7,3.51,3.3,3.54,3.26,2.52,2.24,2.03,1.93,2.83,2.73
５人以上,平成29,2017,年平均,2.36,2.23,1.14,1.03,1.22,1.18,1.8,1.04,1.75,1.46,1.77,1.73,2.09,2.01,1.79,1.72,1.89,1.78,1.46,1.42,4.8,4.69,3.62,3.35,3.72,3.61,2.37,2.22,2.15,2.29,3.13,2.83
５人以上,平成29,2017,1月,1.62,1.95,1.06,1.16,0.51,1.12,0.33,0.78,0.99,0.98,0.63,1.24,1.39,1.53,2.21,1.52,1.13,1.8,1.37,1.43,2.66,4.24,2.46,3.24,1.96,2.79,1.49,1.81,0.66,0.51,3.2,3.08
５人以上,平成29,2017,2月,1.61,1.82,0.55,0.9,1.08,0.86,0.01,0.51,0.57,0.86,0.8,1.36,1.76,1.68,0.72,1.08,1.59,1.32,1.47,0.85,4.41,4.76,2.46,2.96,1.15,3.29,1.11,1.61,0.89,0.69,2.43,2.24
５人以上,平成29,2017,3月,2.04,2.24,0.78,1.05,0.87,1.17,0.05,1.17,0.84,1.24,2.5,1.71,1.95,1.76,0.9,1.31,2.25,1.64,1.16,1.52,5.88,5.6,4.39,3.31,0.86,3.88,1.59,2.49,1.17,2.44,2.84,2.73
５人以上,平成29,2017,4月,6.85,4.79,3.85,2.12,4.55,2.41,18.41,5.08,7.19,2.8,5.3,3.43,4.71,3.79,6.86,4.65,6.16,3.29,5.56,3.76,7.63,7.52,8.07,6.48,16.78,11.36,9.69,7.14,14.38,12.21,6.68,5.39
５人以上,平成29,2017,5月,2.61,2.38,1.06,1.16,1.02,1.39,0.18,0.75,2.17,1.73,1.64,1.86,2.31,2.45,1.62,1.29,1.96,1.59,1.48,1.52,6.16,5.98,4.31,3.75,4.12,1.91,2.16,2.08,1.02,0.81,3.73,3.07
５人以上,平成29,2017,6月,2.13,1.89,0.82,0.76,0.97,1.06,0.26,1.73,1.45,1.12,1.9,1.4,2.12,1.88,1.05,1.44,1.61,1.7,0.94,1.05,5.13,3.74,4.17,2.74,2.06,1.48,2.11,1.74,1.67,1.47,2.94,3.51
５人以上,平成29,2017,7月,1.97,2.04,1.13,0.73,1,1.12,0.01,1.02,1.83,1.99,2.15,2.36,1.59,1.89,1.46,1.86,1.64,1.26,1.06,1.7,4.56,4.12,2.96,2.13,1.36,2.35,2.08,1.55,0.31,1.61,2.64,2.48
５人以上,平成29,2017,8月,1.76,2.09,0.65,0.84,0.69,1,0.17,0.03,1.15,1.33,1.01,1.63,1.97,1.93,1.42,1.4,1.41,1.7,0.74,1.1,4.08,4.06,3.42,2.94,0.77,5.51,2.19,1.9,1.32,1.6,2.5,2.31
５人以上,平成29,2017,9月,1.96,1.86,1.19,0.98,0.96,1.29,0.26,0.36,1.2,1.71,0.76,0.96,1.76,1.86,0.85,1.33,1.07,1.51,0.74,0.93,4.12,4.06,3.52,2.88,5.79,1.96,1.46,1.88,0.01,0.81,2.57,2.08
５人以上,平成29,2017,10月,2.36,2.35,1,1.15,1.19,1.27,1.94,0.24,1.74,1.82,2.65,3.2,2.03,2.06,2.12,2.15,1.72,2.65,1.54,1.33,4.74,4.24,3.05,3.33,4.84,3.45,1.57,1.88,2.45,2.83,2.75,2.77
５人以上,平成29,2017,11月,1.98,1.77,0.89,0.86,0.93,0.78,0,0.17,1.04,0.87,1.14,0.94,2.2,1.72,1.35,1.68,1.25,1.24,0.68,1.01,4.59,4.11,2.39,3.52,3.15,2.96,1.7,1.23,1.91,1.26,2.79,2.38
５人以上,平成29,2017,12月,1.48,1.58,0.69,0.62,0.86,0.72,0,0.68,0.83,1.12,0.8,0.72,1.26,1.51,0.92,0.98,0.92,1.71,0.83,0.89,3.64,3.83,2.28,2.96,1.83,2.37,1.27,1.38,0,1.19,2.51,1.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成29年年報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第12－１表　産業別労働異動率（事業所規模５人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
