規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.8,157.7,142.2,15.5,13.4,85.6,82.3,3.3
100～499人,19.2,162.6,147.2,15.4,14.8,90.9,87.5,3.4
100人以上,19,160.3,144.8,15.5,14.2,88.8,85.4,3.4
30～99人,19.5,162.4,149.1,13.3,13.9,80.2,77.8,2.4
５～29人,20.4,170.1,157.4,12.7,12.8,78.3,75.3,3
30人以上,19.2,160.9,146.1,14.8,14.1,84.5,81.6,2.9
５人以上,19.5,163.3,149.1,14.2,13.5,81.6,78.7,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
