事業所規模,産業,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
30人以上,TL 調査産業計,平成24,2012,年平均,457897,550412,303588,363267,431925,248751,334890,28377,94630,118487,54837
30人以上,TL 調査産業計,平成25,2013,年平均,463833,556788,308114,363982,432028,249990,335218,28764,99851,124760,58124
30人以上,TL 調査産業計,平成26,2014,年平均,468699,564806,312570,365203,435060,251717,335667,29536,103496,129746,60853
30人以上,TL 調査産業計,平成27,2015,年平均,458192,549979,311825,358963,425830,252333,332078,26885,99229,124149,59492
30人以上,TL 調査産業計,平成28,2016,年平均,458920,552858,311408,357892,425875,251136,331488,26404,101028,126983,60272
30人以上,TL 調査産業計,平成29,2017,年平均,462436,556518,317098,359255,427232,254244,333689,25566,103181,129286,62854
30人以上,TL 調査産業計,平成29,2017,1月,376530,449337,261800,356370,423793,250124,331261,25109,20160,25544,11676
30人以上,TL 調査産業計,平成29,2017,2月,368950,442144,254357,359013,428548,250149,333095,25918,9937,13596,4208
30人以上,TL 調査産業計,平成29,2017,3月,410768,489359,288583,360371,430440,251434,333933,26438,50397,58919,37149
30人以上,TL 調査産業計,平成29,2017,4月,392062,466470,276239,364088,431802,258685,337326,26762,27974,34668,17554
30人以上,TL 調査産業計,平成29,2017,5月,400937,482034,275495,355282,420042,255110,329702,25580,45655,61992,20385
30人以上,TL 調査産業計,平成29,2017,6月,717722,877919,470678,358152,426005,253514,333257,24895,359570,451914,217164
30人以上,TL 調査産業計,平成29,2017,7月,511138,617268,347638,361539,429550,256763,336312,25227,149599,187718,90875
30人以上,TL 調査産業計,平成29,2017,8月,371093,441725,261714,357964,424677,254654,333748,24216,13129,17048,7060
30人以上,TL 調査産業計,平成29,2017,9月,375252,449150,261769,358742,427040,253859,334789,23953,16510,22110,7910
30人以上,TL 調査産業計,平成29,2017,10月,379059,451324,268562,360864,429164,256429,335286,25578,18195,22160,12133
30人以上,TL 調査産業計,平成29,2017,11月,409987,492284,284251,361920,430831,256636,335077,26843,48067,61453,27615
30人以上,TL 調査産業計,平成29,2017,12月,827371,1013315,545337,356827,425070,253319,330507,26320,470544,588245,292018
30人以上,D 建設業,平成24,2012,年平均,534411,563954,338877,445606,470220,282698,405113,40493,88805,93734,56179
