規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.4,162.4,146.6,15.8,13.4,85.9,83,2.9
100～499人,19.5,164.4,149.3,15.1,14.8,89.6,86.6,3
100人以上,19.4,163.4,148,15.4,14.2,88.1,85.1,3
30～99人,19.7,163.6,150.4,13.2,13.9,79.7,77.7,2
５～29人,20.3,170.1,157.1,13,12.8,77.6,74.8,2.8
30人以上,19.5,163.4,148.7,14.7,14,83.9,81.4,2.5
５人以上,19.7,165.2,150.9,14.3,13.4,80.9,78.3,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１０月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
