規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,497125,464952,427687,37265,32173,132898,131630,124975,6655,1268
100～499人,461717,414514,381149,33365,47203,123734,120432,115332,5100,3302
100人以上,478705,438713,403477,35236,39992,127627,125189,119429,5760,2438
30～99人,415541,393651,368065,25586,21890,107130,106221,103390,2831,909
５～29人,376597,356989,337273,19716,19608,96333,95768,92910,2858,565
30人以上,459197,424796,392540,32256,34401,117181,115522,111255,4267,1659
５人以上,437486,406973,378013,28960,30513,107629,106471,102849,3622,1158
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年４月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
