規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,416222,489694,295473,410513,482507,292195,379475,31038,5709,7187,3278
100～499人,379411,441748,268460,361719,418772,260172,335595,26124,17692,22976,8288
100人以上,396779,464019,281545,384741,448377,275683,356298,28443,12038,15642,5862
30～99人,322770,394656,230279,307589,374639,221319,291326,16263,15181,20017,8960
５～29人,277491,349097,190303,257046,318591,182108,243222,13824,20445,30506,8195
30人以上,371093,441725,261714,357964,424677,254654,333748,24216,13129,17048,7060
５人以上,341879,414792,237240,326467,393831,229791,305494,20973,15412,20961,7449
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年８月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
