規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.7,165.3,148.5,16.8,13.7,88.4,85.3,3.1
100～499人,19.6,166,149.8,16.2,14.7,89.8,87,2.8
100人以上,19.7,165.7,149.2,16.5,14.3,89.2,86.3,2.9
30～99人,20.1,168.2,153.2,15,14.1,82.6,79.8,2.8
５～29人,20.3,168.9,156.3,12.6,12.7,78.4,75.8,2.6
30人以上,19.8,166.4,150.4,16,14.2,85.8,83,2.8
５人以上,19.9,167.1,152,15.1,13.5,82.4,79.7,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年３月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
