規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.5,161.9,147,14.9,13.5,85.7,82.9,2.8
100～499人,19.7,164.8,149.8,15,14.8,90.7,87.6,3.1
100人以上,19.6,163.5,148.5,15,14.3,88.7,85.7,3
30～99人,20,165.6,152.6,13,14.3,82.7,80.6,2.1
５～29人,20.7,172.8,159.5,13.3,13,78.9,76.1,2.8
30人以上,19.7,164.1,149.8,14.3,14.3,85.6,83.1,2.5
５人以上,20,166.4,152.3,14.1,13.7,82.4,79.8,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年７月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
