規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,575127,449043,412509,36534,126084,138001,133625,127400,6225,4376
100～499人,421104,403880,373374,30506,17224,119044,117769,112937,4832,1275
100人以上,495141,425589,392185,33404,69552,126827,124279,118875,5404,2548
30～99人,401520,376540,352379,24161,24980,110044,109467,106724,2743,577
５～29人,374182,352440,333329,19111,21742,96312,95270,92162,3108,1042
30人以上,466407,410535,379968,30567,55872,118271,116728,112681,4047,1543
５人以上,442504,395478,367880,27598,47026,108040,106730,103120,3610,1310
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年５月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
