事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
30人以上,TL 調査産業計,平成24,2012,年平均,4135805,61252,64554,4132520,880523,31085,29837,881753
30人以上,TL 調査産業計,平成25,2013,年平均,4113454,62412,62041,4113814,891483,32959,31640,892815
30人以上,TL 調査産業計,平成26,2014,年平均,4163550,62007,58672,4167294,888014,32813,30889,889529
30人以上,TL 調査産業計,平成27,2015,年平均,4093908,66952,64591,4096860,945116,37283,36800,945007
30人以上,TL 調査産業計,平成28,2016,年平均,4099294,67710,63824,4103185,983871,39543,39281,984128
30人以上,TL 調査産業計,平成29,2017,年平均,4153340,68888,63539,4158925,995050,41724,39298,997240
30人以上,TL 調査産業計,平成29,2017,1月,4118054,46927,51851,4114269,987121,33171,39564,979589
30人以上,TL 調査産業計,平成29,2017,2月,4086907,37535,46446,4077400,987681,32663,36000,984940
30人以上,TL 調査産業計,平成29,2017,3月,4049436,46757,55455,4041074,1008636,38560,40086,1006774
30人以上,TL 調査産業計,平成29,2017,4月,4046615,283695,155250,4176305,1001233,86264,79203,1007049
30人以上,TL 調査産業計,平成29,2017,5月,4229347,65576,75056,4220380,974024,43551,33989,983073
30人以上,TL 調査産業計,平成29,2017,6月,4198237,51251,54681,4194869,1015848,39102,31900,1022988
30人以上,TL 調査産業計,平成29,2017,7月,4226732,62426,66726,4222705,980245,33234,31706,981500
30人以上,TL 調査産業計,平成29,2017,8月,4208091,42007,51028,4198816,989742,30906,46998,973904
30人以上,TL 調査産業計,平成29,2017,9月,4166804,39548,51761,4154373,991689,50323,27769,1014461
30人以上,TL 調査産業計,平成29,2017,10月,4163997,70054,75475,4158880,1001087,45421,40686,1005518
