規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.1,18.5,17.4,148.5,155.7,136.6,134.5,139.7,126,14,16,10.6
100～499人,18.5,19,17.5,150.4,160.5,133,137.1,144.3,124.6,13.3,16.2,8.4
100人以上,18.3,18.8,17.5,149.5,158.2,134.7,135.9,142.1,125.3,13.6,16.1,9.4
30～99人,18,18.9,16.8,139.3,154.2,121,129.1,140.8,114.7,10.2,13.4,6.3
５～29人,17.5,18.9,16,135.8,153.1,115.1,126.7,140.8,109.9,9.1,12.3,5.2
30人以上,18.2,18.8,17.2,146,157,129.3,133.5,141.7,121.1,12.5,15.3,8.2
５人以上,18,18.8,16.8,142.8,155.8,124.5,131.4,141.4,117.3,11.4,14.4,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
