規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.2,18.5,17.8,149.3,155.7,138.5,135.4,139.7,128.2,13.9,16,10.3
100～499人,18.1,18.5,17.4,146.4,154.8,131.4,133.7,139.6,123.1,12.7,15.2,8.3
100人以上,18.1,18.5,17.5,147.8,155.3,134.9,134.5,139.7,125.6,13.3,15.6,9.3
30～99人,17.6,18.3,16.8,137.2,149.9,120.9,126.9,136.3,114.9,10.3,13.6,6
５～29人,17,18,15.7,131.6,147.4,112.7,122.9,135.3,108.1,8.7,12.1,4.6
30人以上,18,18.4,17.2,144.1,153.6,129.4,131.9,138.6,121.4,12.2,15,8
５人以上,17.7,18.3,16.7,140.2,151.8,123.7,129.1,137.7,116.9,11.1,14.1,6.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
