事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,TL 調査産業計,平成24,2012,年平均,18.7,19.4,17.6,148.3,160.5,129.9,136.4,145.5,122.6,11.9,15,7.3
５人以上,TL 調査産業計,平成25,2013,年平均,18.4,19.1,17.3,146.2,158.2,127.9,134.1,143.1,120.4,12.1,15.1,7.5
５人以上,TL 調査産業計,平成26,2014,年平均,18.2,19,17.2,145.2,157.5,127,132.9,142.2,119.3,12.3,15.3,7.7
５人以上,TL 調査産業計,平成27,2015,年平均,18.1,18.8,17,144.2,156.9,125.5,132.2,141.7,118.2,12,15.2,7.3
５人以上,TL 調査産業計,平成28,2016,年平均,18.1,18.8,17,143.2,155.7,125.1,131.8,141.3,118,11.4,14.4,7.1
５人以上,TL 調査産業計,平成29,2017,年平均,18,18.8,16.9,143,156,124.7,131.7,141.5,117.8,11.3,14.5,6.9
５人以上,TL 調査産業計,平成29,2017,1月,16.7,17.4,15.7,133.2,145.4,115.7,122.1,131.2,109.1,11.1,14.2,6.6
５人以上,TL 調査産業計,平成29,2017,2月,17.8,18.7,16.6,141.6,155.5,121.8,130,140.5,115.1,11.6,15,6.7
５人以上,TL 調査産業計,平成29,2017,3月,18.3,19.2,17.1,145.7,159.7,125.9,133.7,144.3,118.7,12,15.4,7.2
５人以上,TL 調査産業計,平成29,2017,4月,18.6,19.4,17.3,147.7,161.4,128.1,135.8,146.2,120.8,11.9,15.2,7.3
５人以上,TL 調査産業計,平成29,2017,5月,17.7,18.3,16.7,140.2,151.8,123.7,129.1,137.7,116.9,11.1,14.1,6.8
５人以上,TL 調査産業計,平成29,2017,6月,19,19.8,17.8,149.6,163,130.8,138.4,148.7,124,11.2,14.3,6.8
５人以上,TL 調査産業計,平成29,2017,7月,18.4,19.3,17.3,145.8,159,127.1,134.5,144.6,120.2,11.3,14.4,6.9
５人以上,TL 調査産業計,平成29,2017,8月,17.6,18.3,16.6,139.4,151,122.7,128.8,137.5,116.3,10.6,13.5,6.4
５人以上,TL 調査産業計,平成29,2017,9月,17.9,18.7,16.8,141.9,154.6,124,130.9,140.6,117.3,11,14,6.7
５人以上,TL 調査産業計,平成29,2017,10月,18.2,19,17,144.2,156.9,126.1,132.8,142.5,119,11.4,14.4,7.1
５人以上,TL 調査産業計,平成29,2017,11月,18.3,19.1,17,144.8,158.1,126,133.1,143.3,118.7,11.7,14.8,7.3
５人以上,TL 調査産業計,平成29,2017,12月,18,18.8,16.8,142.8,155.8,124.5,131.4,141.4,117.3,11.4,14.4,7.2
５人以上,D 建設業,平成24,2012,年平均,20.7,21,19.1,176.4,180.3,155.6,156,158,145.4,20.4,22.3,10.2
