規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.8,165,149.6,15.4,13.5,85.6,82.8,2.8
100～499人,20.2,169,154.2,14.8,15.4,92.2,89.3,2.9
100人以上,20,167.1,152,15.1,14.6,89.5,86.6,2.9
30～99人,20.9,172.8,159.4,13.4,14.9,85.1,82.7,2.4
５～29人,21.3,177.2,164.8,12.4,13.4,80.6,78.2,2.4
30人以上,20.3,168.9,154.3,14.6,14.7,87.2,84.6,2.6
５人以上,20.6,171,157,14,14.1,84.2,81.7,2.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年６月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
