規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,451471,532663,315363,417700,491733,293594,384768,32932,33771,40930,21769
100～499人,431375,494998,314580,362879,422527,253383,335055,27824,68496,72471,61197
100人以上,440855,512458,314961,388742,454608,272934,358508,30234,52113,57850,42027
30～99人,354765,439957,248598,307561,378752,218842,288188,19373,47204,61205,29756
５～29人,283419,354861,198650,257287,320607,182156,244166,13121,26132,34254,16494
30人以上,410768,489359,288583,360371,430440,251434,333933,26438,50397,58919,37149
５人以上,370821,450415,257276,328035,398638,227317,305774,22261,42786,51777,29959
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年３月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
