規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.7,19.1,18,152.2,159.6,139.8,138.8,144.1,130,13.4,15.5,9.8
100～499人,18.9,19.4,18,152.9,162.3,136.2,139.8,146.5,127.9,13.1,15.8,8.3
100人以上,18.8,19.3,18,152.5,161.1,137.9,139.3,145.4,128.9,13.2,15.7,9
30～99人,18.5,19.4,17.4,143.3,158.1,124.7,133.3,144.8,118.8,10,13.3,5.9
５～29人,17.9,19.2,16.3,138,156.1,116.3,128.6,143.1,111.2,9.4,13,5.1
30人以上,18.7,19.3,17.8,149.3,160.1,132.8,137.2,145.2,125,12.1,14.9,7.8
５人以上,18.4,19.3,17.3,145.8,159,127.1,134.5,144.6,120.2,11.3,14.4,6.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年７月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
