規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,448679,525115,320558,420617,492198,300634,387424,33193,28062,32917,19924
100～499人,407373,471996,289669,367229,423977,263869,338408,28821,40144,48019,25800
100人以上,426855,496650,304645,392410,455640,281694,361527,30883,34445,41010,22951
30～99人,326950,401944,232606,311087,380835,223342,292037,19050,15863,21109,9264
５～29人,273810,344086,190934,261186,325534,185301,247652,13534,12624,18552,5633
30人以上,392062,466470,276239,364088,431802,258685,337326,26762,27974,34668,17554
５人以上,355218,431363,246655,332027,401318,233235,309387,22640,23191,30045,13420
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年４月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
