規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,443600,525488,305998,414028,488837,288321,382486,31542,29572,36651,17677
100～499人,377991,441816,261243,355639,413706,249424,329168,26471,22352,28110,11819
100人以上,409006,480727,283003,383241,448645,268336,354373,28868,25765,32082,14667
30～99人,315945,383195,228874,306242,371427,221843,288145,18097,9703,11768,7031
５～29人,265080,335150,182154,252570,318308,174771,239890,12680,12510,16842,7383
30人以上,376530,449337,261800,356370,423793,250124,331261,25109,20160,25544,11676
５人以上,341659,416512,233967,323893,393470,223791,302673,21220,17766,23042,10176
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
