規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.2,153.4,137.5,15.9,12.9,83.4,80.6,2.8
100～499人,18.9,159.7,144.2,15.5,14.5,86.2,83.6,2.6
100人以上,18.6,156.7,141,15.7,13.9,85.1,82.4,2.7
30～99人,19.8,165.5,150.5,15,14.1,81.8,79.8,2
５～29人,20.4,169.8,157.5,12.3,12.5,76.2,73.9,2.3
30人以上,19,159.4,143.9,15.5,14,83.5,81.1,2.4
５人以上,19.3,162.1,147.5,14.6,13.3,80,77.7,2.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
