産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.62,1.95,1.57,1.79
建設業,1.06,1.16,0.4,0.49
製造業,0.51,1.12,0.54,1.26
電気・ガス・熱供給・水道業,0.33,0.78,0.41,0.97
情報通信業,0.99,0.98,1.04,1.01
"運輸業,郵便業",0.63,1.24,0.51,0.88
"卸売業,小売業",1.39,1.53,1.31,1.35
"金融業,保険業",2.21,1.52,2.12,1.25
"不動産業,物品賃貸業",1.13,1.8,1.03,1.93
"学術研究,専門・技術サービス業",1.37,1.43,1.29,1.39
"宿泊業,飲食サービス業",2.66,4.24,2.03,4.06
"生活関連サービス業,娯楽業",2.46,3.24,2.15,3.18
"教育,学習支援業",1.96,2.79,2.27,3.14
"医療,福祉",1.49,1.81,1.58,1.89
複合サービス事業,0.66,0.51,0.98,0.04
サービス業（他に分類されないもの）,3.2,3.08,3.6,3.19
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１月分,,,,
第４表  産業別労働異動率,,,,
