事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
30人以上,TL 調査産業計,平成24,2012,年平均,18.9,19.4,18.1,152.4,162.4,135.7,138.7,145.8,127,13.7,16.6,8.7
30人以上,TL 調査産業計,平成25,2013,年平均,18.6,19.1,17.7,150.1,160,133.6,136.4,143.4,124.7,13.7,16.6,8.9
30人以上,TL 調査産業計,平成26,2014,年平均,18.5,19,17.7,149.9,159.8,133.7,135.9,142.9,124.5,14,16.9,9.2
30人以上,TL 調査産業計,平成27,2015,年平均,18.3,18.8,17.4,147.7,158.3,130.8,134.2,141.7,122.2,13.5,16.6,8.6
30人以上,TL 調査産業計,平成28,2016,年平均,18.3,18.8,17.4,146.6,157.2,130,133.9,141.6,121.7,12.7,15.6,8.3
30人以上,TL 調査産業計,平成29,2017,年平均,18.3,18.9,17.4,146.7,157.4,130.3,134.3,142.1,122.3,12.4,15.3,8
30人以上,TL 調査産業計,平成29,2017,1月,17.1,17.6,16.3,137.7,147.6,122.1,125.4,132.4,114.3,12.3,15.2,7.8
30人以上,TL 調査産業計,平成29,2017,2月,18,18.6,17,144.6,156,126.7,131.7,139.9,118.8,12.9,16.1,7.9
30人以上,TL 調査産業計,平成29,2017,3月,18.7,19.3,17.7,150.4,162.2,131.9,137,145.6,123.5,13.4,16.6,8.4
30人以上,TL 調査産業計,平成29,2017,4月,18.8,19.5,17.8,151.5,162.8,133.8,138.3,146.6,125.3,13.2,16.2,8.5
30人以上,TL 調査産業計,平成29,2017,5月,18,18.4,17.2,144.1,153.6,129.4,131.9,138.6,121.4,12.2,15,8
30人以上,TL 調査産業計,平成29,2017,6月,19.2,19.8,18.3,152.9,163.8,136,140.7,148.8,128.1,12.2,15,7.9
30人以上,TL 調査産業計,平成29,2017,7月,18.7,19.3,17.8,149.3,160.1,132.8,137.2,145.2,125,12.1,14.9,7.8
30人以上,TL 調査産業計,平成29,2017,8月,17.9,18.4,17.2,143.4,152.7,128.9,131.9,138.6,121.5,11.5,14.1,7.4
30人以上,TL 調査産業計,平成29,2017,9月,18.1,18.7,17.3,144.8,155.3,128.8,132.9,140.6,121.2,11.9,14.7,7.6
30人以上,TL 調査産業計,平成29,2017,10月,18.5,19.1,17.5,148.1,158.7,131.6,135.7,143.5,123.6,12.4,15.2,8
30人以上,TL 調査産業計,平成29,2017,11月,18.5,19.2,17.5,148.7,160,131.6,135.9,144.2,123.3,12.8,15.8,8.3
30人以上,TL 調査産業計,平成29,2017,12月,18.2,18.8,17.2,146,157,129.3,133.5,141.7,121.1,12.5,15.3,8.2
30人以上,D 建設業,平成24,2012,年平均,20.8,21,19.4,180.9,183.1,166.5,155.6,156.4,150.5,25.3,26.7,16
