産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.36,2.35,2.24,2.25
建設業,1,1.15,1.06,1.01
製造業,1.19,1.27,1.19,1.3
電気・ガス・熱供給・水道業,1.94,0.24,1.31,0.28
情報通信業,1.74,1.82,1.82,1.7
"運輸業,郵便業",2.65,3.2,3.07,3.47
"卸売業,小売業",2.03,2.06,1.76,1.79
"金融業,保険業",2.12,2.15,2.06,2.17
"不動産業,物品賃貸業",1.72,2.65,1.04,2.6
"学術研究,専門・技術サービス業",1.54,1.33,1.71,1.6
"宿泊業,飲食サービス業",4.74,4.24,3.58,3.59
"生活関連サービス業,娯楽業",3.05,3.33,2.08,3.43
"教育,学習支援業",4.84,3.45,5.34,3.44
"医療,福祉",1.57,1.88,1.46,2.02
複合サービス事業,2.45,2.83,1.13,1.15
サービス業（他に分類されないもの）,2.75,2.77,3,2.97
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１０月分,,,,
第４表  産業別労働異動率,,,,
