規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.7,18,17.3,145,151.6,134.1,131.9,136.3,124.6,13.1,15.3,9.5
100～499人,18.5,18.9,17.6,150,159.3,133.2,137.2,143.9,125.2,12.8,15.4,8
100人以上,18.1,18.5,17.5,147.6,155.7,133.7,134.7,140.4,124.9,12.9,15.3,8.8
30～99人,18.1,18.9,17,139.6,154.3,121.2,129.7,141,115.5,9.9,13.3,5.7
５～29人,17.5,18.8,16,135.6,153.1,114.7,126.6,140.6,109.8,9,12.5,4.9
30人以上,18.1,18.7,17.3,144.8,155.3,128.8,132.9,140.6,121.2,11.9,14.7,7.6
５人以上,17.9,18.7,16.8,141.9,154.6,124,130.9,140.6,117.3,11,14,6.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
