事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,TL 調査産業計,609756,-3.7,87.9,88,1.28,0.01,615438,3.2,88.9,91,1.38,0.07
30人以上,D 建設業,775108,-6.3,87.3,87,1.62,-0.06,797264,20,87.6,93.7,1.69,0.23
30人以上,E 製造業,934042,-1.1,83.9,88.2,1.6,0.02,950667,8.1,81.9,91.9,1.76,0.12
30人以上,F 電気・ガス・熱供給・水道業,879793,4.2,9.1,42.1,2.06,0.02,706902,-29.7,81.8,76.1,1.52,-1.19
30人以上,G 情報通信業,646164,-1.7,87.1,92.7,1.37,0.08,668611,4.3,91.6,95.2,1.52,0.13
30人以上,"H 運輸業,郵便業",532834,-14.4,98.4,98.1,1.13,-0.18,542915,-0.4,98.2,97.7,1.39,0.05
30人以上,"I 卸売業,小売業",631839,-6.4,92,93.2,1.31,-0.09,639105,-1.1,91.2,93.1,1.35,-0.07
30人以上,"J 金融業,保険業",1036809,-0.8,97,87.4,2.3,0.16,852264,-0.9,91.6,91.6,2.05,0.04
30人以上,"K 不動産業,物品賃貸業",663163,7,88.3,89.6,1.68,0.05,734027,9.2,82.7,88.6,1.79,0.04
30人以上,"L 学術研究,専門・技術サービス業",758955,-6,84.3,85.6,1.56,0.07,746074,2.7,81.8,81.9,1.87,0.27
30人以上,"M 宿泊業,飲食サービス業",103101,-8.8,87.7,82.4,0.38,0.01,129849,7.4,83.9,73,0.44,-0.04
30人以上,"N 生活関連サービス業,娯楽業",227637,11.2,77.9,66.4,0.87,-0.07,214590,1.9,91.5,95,0.92,-0.07
30人以上,"O 教育,学習支援業",541767,-3.3,99.3,99.4,1.44,0.01,645282,-5.1,99.1,99.4,1.74,-0.01
30人以上,"P 医療,福祉",384895,-3.6,80.8,79.3,1.13,-0.04,455225,2,79.2,80.2,1.2,-0.09
30人以上,Q 複合サービス事業,623185,20.4,100,100,1.88,0.52,731235,0.6,100,100,2.19,0.21
30人以上,R サービス業（他に分類されないもの）,301801,-4.1,77.5,77.8,1.17,0.12,280472,-2.4,88.5,89.9,1.08,0.1
30人以上,"E09,10 食料品製造業、飲料・たばこ・飼料製造業",828410,0.6,92.5,75.8,1.7,0.01,908336,9.7,96.5,97.3,1.73,-0.03
30人以上,E11 繊維工業,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,E12 木材・木製品製造業（家具を除く）,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,E13 家具・装備品製造業,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,E14 パルプ・紙・紙加工品製造業,818730,5.9,100,100,2.1,-0.05,939596,17.2,100,100,2.16,0.19
30人以上,E15 印刷・同関連業,630759,38,78.1,87.6,0.93,0.16,494805,0.4,98.9,94,1.05,0.1
30人以上,"E16,17 化学工業、石油製品・石炭製品製造業",1200387,5,97.8,91.3,2.41,0.3,1159031,13.2,81.3,88,2.93,0.58
30人以上,E18 プラスチック製品製造業（別掲を除く）,734895,-4.8,18.7,61,1.69,0.18,569637,-54.3,17.6,56.3,1.56,-0.77
30人以上,E19 ゴム製品製造業,1188425,5.8,100,100,3.55,0.36,1214299,-0.9,100,100,3.69,0.13
30人以上,E21 窯業・土石製品製造業,1002250,-4.7,100,100,1.92,-0.33,661704,-32.4,88.4,55.3,1.8,-0.68
30人以上,E22 鉄鋼業,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,E23 非鉄金属製造業,1533868,-3.7,69.7,89.2,2.28,-0.05,1347850,4.8,69.7,89.1,2.11,0.08
30人以上,E24 金属製品製造業,454951,0.4,100,100,0.3,-0.22,611357,-33.7,100,100,0.81,-1.14
30人以上,E25 はん用機械器具製造業,533990,-40,100,100,1.13,-0.65,873944,101.2,2.7,27.1,2.59,1.85
30人以上,E26 生産用機械器具製造業,1039355,12.4,100,100,1.68,0.41,1508030,66,100,100,3.69,2.43
30人以上,E27 業務用機械器具製造業,1004650,-14.7,78.6,78.7,2.05,-0.18,1100715,15.2,100,100,2.05,0.39
30人以上,E28 電子部品・デバイス・電子回路製造業,845635,-9.1,70,52.8,1.32,0.19,860578,19.8,69.3,54.8,1.33,0.04
30人以上,E29 電気機械器具製造業,1226873,66.4,71.5,93.2,1.33,-0.2,858851,12.7,73.5,95,1.34,-0.28
30人以上,E30 情報通信機械器具製造業,1184272,2.1,92.2,99.4,2.45,-0.68,1183572,-1.6,92.2,99.4,2.5,-0.53
30人以上,E31 輸送用機械器具製造業,818919,-38.2,100,100,1.21,-0.46,766035,-29.6,100,100,1.05,-0.93
30人以上,"E32,20 その他の製造業、なめし革・同製品・毛皮製造業",602871,-14.6,100,100,1.75,-0.4,604964,3.1,100,100,1.79,-0.37
30人以上,I-1 卸売業,845028,-8.8,96.5,96,1.75,-0.04,877931,1.7,93.8,95.8,1.83,0.08
30人以上,I-2 小売業,307854,6.6,87.6,89.2,0.84,-0.07,287989,0.7,88.6,89.6,0.87,-0.09
30人以上,M75 宿泊業,228763,-6,97.9,89.8,0.47,-0.05,272711,8.3,97.3,88.8,0.58,0.08
30人以上,MS Ｍ一括分,82632,-10.9,86.9,81.3,0.38,0.02,99896,0.5,82.9,70.4,0.43,-0.05
30人以上,P83 医療業,503748,0.1,59.8,74.8,1.56,-0.03,596651,2,61.6,77.5,1.73,0.03
30人以上,PSＰ一括分,301758,-6.1,82.4,82.7,1.11,-0.04,332748,-0.3,80.9,82.6,1.16,-0.1
30人以上,R91 職業紹介・労働者派遣業,236689,-8.9,97.6,81.8,0.74,-0.13,231316,8.4,89.1,78.4,0.68,-0.02
30人以上,R92 その他の事業サービス業,180963,-17.3,68.3,73,0.71,-0.02,162870,-16.5,82.3,92.9,0.62,0
