規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.3,17.6,16.8,142,148.4,131.1,128.2,132.5,120.9,13.8,15.9,10.2
100～499人,17.3,17.7,16.5,141.2,150.4,124.5,128,134.4,116.4,13.2,16,8.1
100人以上,17.3,17.7,16.6,141.6,149.5,127.7,128.1,133.5,118.6,13.5,16,9.1
30～99人,16.7,17.4,15.8,130.4,143.6,113.4,120.2,130,107.6,10.2,13.6,5.8
５～29人,15.9,17.1,14.5,123.4,139.9,104,115,128.1,99.6,8.4,11.8,4.4
30人以上,17.1,17.6,16.3,137.7,147.6,122.1,125.4,132.4,114.3,12.3,15.2,7.8
５人以上,16.7,17.4,15.7,133.2,145.4,115.7,122.1,131.2,109.1,11.1,14.2,6.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
