規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,435393,515230,303972,414327,487671,293595,383407,30920,21066,27559,10377
100～499人,383610,448183,268499,361858,419387,259304,335723,26135,21752,28796,9195
100人以上,408036,479318,285678,386608,451097,275910,358216,28392,21428,28221,9768
30～99人,313970,385124,224669,306654,375984,219642,290999,15655,7316,9140,5027
５～29人,264669,329851,186739,258304,321977,182179,244754,13550,6365,7874,4560
30人以上,375252,449150,261769,358742,427040,253859,334789,23953,16510,22110,7910
５人以上,340651,414494,235909,327316,396520,229154,306618,20698,13335,17974,6755
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年９月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
