規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.5,18,16.8,144.5,152.2,131.7,130.3,135.6,121.4,14.2,16.6,10.3
100～499人,18.2,18.7,17.2,147.3,157.7,128.3,134,141.5,120.2,13.3,16.2,8.1
100人以上,17.9,18.4,17,146,155.2,129.9,132.2,138.8,120.8,13.8,16.4,9.1
30～99人,18.2,19.2,17,142.1,158.1,121.9,130.7,142.5,115.8,11.4,15.6,6.1
５～29人,17.4,18.8,15.8,135,154.1,112.6,126.4,142,108.2,8.6,12.1,4.4
30人以上,18,18.6,17,144.6,156,126.7,131.7,139.9,118.8,12.9,16.1,7.9
５人以上,17.8,18.7,16.6,141.6,155.5,121.8,130,140.5,115.1,11.6,15,6.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
