事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成24,2012,年平均,18.1,19.3,16.8,138.9,155.5,119,131,144.8,114.4,7.9,10.7,4.6
５～29人,平成25,2013,年平均,17.9,19,16.5,136.8,153.4,117,128.6,142.4,112.1,8.2,11,4.9
５～29人,平成26,2014,年平均,17.6,18.8,16.2,134.6,151.7,114.3,126.3,140.5,109.4,8.3,11.2,4.9
５～29人,平成27,2015,年平均,17.6,18.8,16.2,136.1,153.3,115,127.6,141.7,110.3,8.5,11.6,4.7
５～29人,平成28,2016,年平均,17.6,18.7,16.2,135.5,151.9,115.7,127.1,140.6,110.9,8.4,11.3,4.8
５～29人,平成29,2017,年平均,17.4,18.7,16,134.9,152.5,114.1,126,140.1,109.3,8.9,12.4,4.8
５～29人,平成29,2017,1月,15.9,17.1,14.5,123.4,139.9,104,115,128.1,99.6,8.4,11.8,4.4
５～29人,平成29,2017,2月,17.4,18.8,15.8,135,154.1,112.6,126.4,142,108.2,8.6,12.1,4.4
５～29人,平成29,2017,3月,17.5,18.8,16,135.6,153.4,114.5,126.7,141,109.7,8.9,12.4,4.8
５～29人,平成29,2017,4月,18,19.4,16.4,139.3,158,117.2,130.2,145.3,112.3,9.1,12.7,4.9
５～29人,平成29,2017,5月,17,18,15.7,131.6,147.4,112.7,122.9,135.3,108.1,8.7,12.1,4.6
５～29人,平成29,2017,6月,18.5,19.8,16.9,142.3,160.6,120.7,133.5,148.3,116.1,8.8,12.3,4.6
５～29人,平成29,2017,7月,17.9,19.2,16.3,138,156.1,116.3,128.6,143.1,111.2,9.4,13,5.1
５～29人,平成29,2017,8月,16.9,18,15.5,130.6,146.9,110.8,122,135,106.2,8.6,11.9,4.6
５～29人,平成29,2017,9月,17.5,18.8,16,135.6,153.1,114.7,126.6,140.6,109.8,9,12.5,4.9
５～29人,平成29,2017,10月,17.5,18.7,16,135.7,152.5,115.3,126.5,140,110.1,9.2,12.5,5.2
５～29人,平成29,2017,11月,17.7,18.9,16.1,136.2,153.6,115.4,127,141.1,110.1,9.2,12.5,5.3
５～29人,平成29,2017,12月,17.5,18.9,16,135.8,153.1,115.1,126.7,140.8,109.9,9.1,12.3,5.2
30～99人,平成24,2012,年平均,18.9,19.6,18,150.8,164.7,130.7,138.2,148.2,123.8,12.6,16.5,6.9
30～99人,平成25,2013,年平均,18.7,19.3,17.7,148.9,162.7,128.7,136.2,146.1,121.6,12.7,16.6,7.1
30～99人,平成26,2014,年平均,18.6,19.3,17.6,149,162.5,129.6,135.9,145.5,122.1,13.1,17,7.5
30～99人,平成27,2015,年平均,18.1,18.9,17,142.3,157.1,122.6,130.9,142.1,116,11.4,15,6.6
30～99人,平成28,2016,年平均,18.1,19,17,140.6,154.8,122,130.4,141.5,115.9,10.2,13.3,6.1
30～99人,平成29,2017,年平均,18.1,19,17,140.4,155.2,122,130,141.2,116,10.4,14,6
30～99人,平成29,2017,1月,16.7,17.4,15.8,130.4,143.6,113.4,120.2,130,107.6,10.2,13.6,5.8
30～99人,平成29,2017,2月,18.2,19.2,17,142.1,158.1,121.9,130.7,142.5,115.8,11.4,15.6,6.1
30～99人,平成29,2017,3月,18.3,19.4,17.1,142.9,159.9,121.7,131.5,144.3,115.6,11.4,15.6,6.1
30～99人,平成29,2017,4月,18.6,19.6,17.3,144.7,160.9,124.3,133.4,145.6,118,11.3,15.3,6.3
30～99人,平成29,2017,5月,17.6,18.3,16.8,137.2,149.9,120.9,126.9,136.3,114.9,10.3,13.6,6
30～99人,平成29,2017,6月,19.2,20,18.1,147.9,162.7,129.4,137.6,149.1,123.2,10.3,13.6,6.2
30～99人,平成29,2017,7月,18.5,19.4,17.4,143.3,158.1,124.7,133.3,144.8,118.8,10,13.3,5.9
30～99人,平成29,2017,8月,17.6,18.3,16.5,135.9,149.3,118.5,126.4,136.6,113.2,9.5,12.7,5.3
30～99人,平成29,2017,9月,18.1,18.9,17,139.6,154.3,121.2,129.7,141,115.5,9.9,13.3,5.7
30～99人,平成29,2017,10月,18.1,19,17,140.2,154.3,122.8,130.1,141,116.7,10.1,13.3,6.1
30～99人,平成29,2017,11月,18.3,19.3,17.1,142.4,157.3,123.7,131.6,143,117.3,10.8,14.3,6.4
30～99人,平成29,2017,12月,18,18.9,16.8,139.3,154.2,121,129.1,140.8,114.7,10.2,13.4,6.3
100～499人,平成24,2012,年平均,18.8,19.3,18,152.8,162.7,135.4,138.6,145.5,126.6,14.2,17.2,8.8
100～499人,平成25,2013,年平均,18.5,19,17.7,150.5,160.1,134,136.4,143.1,124.9,14.1,17,9.1
100～499人,平成26,2014,年平均,18.4,18.9,17.5,149.6,159.9,132.7,135.3,142.6,123.3,14.3,17.3,9.4
100～499人,平成27,2015,年平均,18.5,18.9,17.7,150.8,160.2,133.9,136.7,143.2,125,14.1,17,8.9
100～499人,平成28,2016,年平均,18.4,18.9,17.6,150.2,159.8,132.5,136.5,143.3,124,13.7,16.5,8.5
100～499人,平成29,2017,年平均,18.5,19,17.6,150.4,159.9,133.3,137.2,144,125,13.2,15.9,8.3
100～499人,平成29,2017,1月,17.3,17.7,16.5,141.2,150.4,124.5,128,134.4,116.4,13.2,16,8.1
100～499人,平成29,2017,2月,18.2,18.7,17.2,147.3,157.7,128.3,134,141.5,120.2,13.3,16.2,8.1
100～499人,平成29,2017,3月,18.8,19.3,17.9,153.5,163.5,135.1,139.5,146.7,126.3,14,16.8,8.8
100～499人,平成29,2017,4月,19,19.5,18.1,154.3,164.3,136.2,140.6,147.9,127.3,13.7,16.4,8.9
100～499人,平成29,2017,5月,18.1,18.5,17.4,146.4,154.8,131.4,133.7,139.6,123.1,12.7,15.2,8.3
100～499人,平成29,2017,6月,19.4,20,18.4,156.4,166.8,138.3,143.6,151.3,130.2,12.8,15.5,8.1
