規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
30人以上,調査産業計,596551,1.2,88.1,88.9,1.31,0.01
30人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
30人以上,建設業,664202,9.3,82.5,85,1.46,0.07
30人以上,製造業,879490,-3.1,87.7,92.5,1.64,0.07
30人以上,電気・ガス・熱供給・水道業,1005916,6,21.1,63.3,2.71,0.03
30人以上,情報通信業,640896,4.3,92.6,94.1,1.39,0.02
30人以上,運輸業，郵便業,545153,-3.1,91.4,92.9,1.34,-0.05
30人以上,卸売業，小売業,646460,7.6,92.7,94.4,1.42,0.1
30人以上,"金融業,保険業",859737,2.3,86.2,88,2.01,0.13
30人以上,不動産業，物品賃貸業,672280,10.6,84.8,89.1,1.75,0.16
30人以上,学術研究，専門・技術サービス業,726216,1.1,78.2,81.4,1.6,0
30人以上,宿泊業，飲食サービス業,120911,-7.8,89.1,91.3,0.48,-0.02
30人以上,生活関連サービス業，娯楽業,210539,-12.8,89.1,76.4,0.99,-0.08
30人以上,教育，学習支援業,680193,2.2,99,98.5,1.75,0.04
30人以上,医療，福祉,446469,-3.2,83.6,82.4,1.29,-0.07
30人以上,複合サービス事業,727025,11.3,100,100,1.98,0.16
30人以上,サービス業（他に分類されないもの）,287292,-9.3,81.5,76.9,0.98,-0.09
30～99人,調査産業計,417635,6,87.6,86.1,1.24,0.01
30～99人,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
30～99人,建設業,481749,0.7,80,77.3,1.34,0.01
30～99人,製造業,675738,15.8,86,87.6,1.56,0.14
30～99人,電気・ガス・熱供給・水道業,X,X,X,X,X,X
30～99人,情報通信業,408861,43.8,95,98.1,1.17,0.01
30～99人,運輸業，郵便業,357465,-7.5,90.9,85.8,1.26,-0.08
30～99人,卸売業，小売業,431290,6.4,92.8,94,1.36,0.1
30～99人,"金融業,保険業",638922,7.7,84.6,82.5,1.98,0.13
30～99人,不動産業，物品賃貸業,573798,7.6,82.9,85.7,1.67,0.11
30～99人,学術研究，専門・技術サービス業,728495,5.4,77.8,80.7,1.56,0.02
30～99人,宿泊業，飲食サービス業,57607,-36.8,88.7,90.8,0.39,-0.09
30～99人,生活関連サービス業，娯楽業,209330,-19.2,88.9,63.1,1.02,-0.09
30～99人,教育，学習支援業,491749,3.3,100,100,1.66,0.03
30～99人,医療，福祉,311000,-8.7,83.3,79.8,1.26,-0.1
30～99人,複合サービス事業,X,X,X,X,X,X
30～99人,サービス業（他に分類されないもの）,309331,-8.9,79.1,71.2,1.03,-0.06
100～499人,調査産業計,551874,-0.2,90.2,90.1,1.49,-0.01
100～499人,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
100～499人,建設業,653024,30.7,90,92,1.71,0.23
100～499人,製造業,696701,-8.2,95,95,1.63,-0.24
100～499人,電気・ガス・熱供給・水道業,X,X,X,X,X,X
100～499人,情報通信業,542995,-10.2,87,87.1,1.69,0.03
100～499人,運輸業，郵便業,550047,-3.6,92.3,95.5,1.44,-0.02
100～499人,卸売業，小売業,658755,7.8,92.4,94.5,1.6,0.07
100～499人,"金融業,保険業",851698,8,93.5,90.5,2.08,0.17
100～499人,不動産業，物品賃貸業,605944,14.9,88,88.7,1.84,0.26
100～499人,学術研究，専門・技術サービス業,658906,-4.9,80.1,79,1.77,-0.11
100～499人,宿泊業，飲食サービス業,266708,12,87.7,93.4,0.95,0.09
100～499人,生活関連サービス業，娯楽業,239791,16.2,94.5,90.2,0.83,0.13
100～499人,教育，学習支援業,902445,-6.3,92.8,96.9,2.28,-0.05
100～499人,医療，福祉,464874,10.2,83.3,71.1,1.37,0.05
100～499人,複合サービス事業,X,X,X,X,X,X
100～499人,サービス業（他に分類されないもの）,230821,-7.4,93.1,93,0.8,-0.08
500人以上,調査産業計,875255,-3.5,88.8,91,2.11,-0.15
500人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
500人以上,建設業,924829,-9.5,93,85.1,2.15,-0.1
500人以上,製造業,1081717,-4.9,91.7,93.6,2.58,-0.18
500人以上,電気・ガス・熱供給・水道業,X,X,X,X,X,X
500人以上,情報通信業,897697,1.7,100,100,2.32,-0.02
500人以上,運輸業，郵便業,792172,0.2,94,96.9,1.94,-0.03
500人以上,卸売業，小売業,997945,2.8,94.1,95,2.16,0.16
500人以上,"金融業,保険業",946790,-2.6,81.7,89,2.16,-0.07
500人以上,不動産業，物品賃貸業,1007457,0.5,93.3,96.3,2.39,0.01
500人以上,学術研究，専門・技術サービス業,869278,-0.3,88.6,89.5,2.18,-0.02
500人以上,宿泊業，飲食サービス業,409003,-9.5,98.7,92.8,1.68,-0.33
500人以上,生活関連サービス業，娯楽業,X,X,X,X,X,X
500人以上,教育，学習支援業,797655,2.5,96.1,97.5,2.22,0.07
500人以上,医療，福祉,574588,-7.8,100,100,1.73,-0.08
500人以上,複合サービス事業,X,X,X,X,X,X
500人以上,サービス業（他に分類されないもの）,507913,-12.7,43.2,46.9,1.64,-0.36
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年冬季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,,
