事業所規模,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５～29人,平成24,2012,年平均,285274,360210,195443,253359,318590,175162,241882,11477,31915,41620,20281
５～29人,平成25,2013,年平均,287111,362936,196798,251923,315958,175653,239766,12157,35188,46978,21145
５～29人,平成26,2014,年平均,285618,361318,196146,248748,311748,174286,236698,12050,36870,49570,21860
５～29人,平成27,2015,年平均,290590,364497,199598,252156,313514,176614,239601,12555,38434,50983,22984
５～29人,平成28,2016,年平均,296501,372640,205369,255351,318345,179953,242817,12534,41150,54295,25416
５～29人,平成29,2017,年平均,300725,377857,208809,258330,321317,183270,244813,13517,42395,56540,25539
５～29人,平成29,2017,1月,265080,335150,182154,252570,318308,174771,239890,12680,12510,16842,7383
５～29人,平成29,2017,2月,269834,345487,181629,255386,320922,178976,242627,12759,14448,24565,2653
５～29人,平成29,2017,3月,283419,354861,198650,257287,320607,182156,244166,13121,26132,34254,16494
５～29人,平成29,2017,4月,273810,344086,190934,261186,325534,185301,247652,13534,12624,18552,5633
５～29人,平成29,2017,5月,272453,343379,187921,258290,320571,184061,245037,13253,14163,22808,3860
５～29人,平成29,2017,6月,350074,434952,249928,262316,325931,187258,249316,13000,87758,109021,62670
５～29人,平成29,2017,7月,350031,444079,237661,259637,321111,186187,245399,14238,90394,122968,51474
５～29人,平成29,2017,8月,277491,349097,190303,257046,318591,182108,243222,13824,20445,30506,8195
５～29人,平成29,2017,9月,264669,329851,186739,258304,321977,182179,244754,13550,6365,7874,4560
５～29人,平成29,2017,10月,266816,330056,189697,257968,317983,184781,244067,13901,8848,12073,4916
５～29人,平成29,2017,11月,275415,342925,194563,257724,319565,183662,243528,14196,17691,23360,10901
５～29人,平成29,2017,12月,457426,578438,313624,262148,324803,187694,248040,14108,195278,253635,125930
30～99人,平成24,2012,年平均,360119,433785,252791,297553,355315,213397,276656,20897,62566,78470,39394
30～99人,平成25,2013,年平均,362110,434470,255525,295867,352010,213169,274793,21074,66243,82460,42356
30～99人,平成26,2014,年平均,364884,438678,258615,300041,357778,216894,278678,21363,64843,80900,41721
30～99人,平成27,2015,年平均,370994,450483,264808,305122,368852,219988,285934,19188,65872,81631,44820
30～99人,平成28,2016,年平均,370276,452143,262443,303976,368732,218681,285585,18391,66300,83411,43762
30～99人,平成29,2017,年平均,379524,466583,269730,308051,376225,222075,290241,17810,71473,90358,47655
30～99人,平成29,2017,1月,315945,383195,228874,306242,371427,221843,288145,18097,9703,11768,7031
30～99人,平成29,2017,2月,318277,392217,224132,309027,377713,221573,289802,19225,9250,14504,2559
30～99人,平成29,2017,3月,354765,439957,248598,307561,378752,218842,288188,19373,47204,61205,29756
30～99人,平成29,2017,4月,326950,401944,232606,311087,380835,223342,292037,19050,15863,21109,9264
30～99人,平成29,2017,5月,320537,390780,231193,302337,365155,222438,284127,18210,18200,25625,8755
30～99人,平成29,2017,6月,505518,617531,363395,308326,377080,221090,291473,16853,197192,240451,142305
30～99人,平成29,2017,7月,461615,575013,318765,315529,386083,226651,297969,17560,146086,188930,92114
30～99人,平成29,2017,8月,322770,394656,230279,307589,374639,221319,291326,16263,15181,20017,8960
30～99人,平成29,2017,9月,313970,385124,224669,306654,375984,219642,290999,15655,7316,9140,5027
30～99人,平成29,2017,10月,313259,381537,229214,303843,370411,221902,286928,16915,9416,11126,7312
30～99人,平成29,2017,11月,330971,406972,236228,312115,382773,224033,293591,18524,18856,24199,12195
30～99人,平成29,2017,12月,664519,826047,463575,306310,373961,222150,288239,18071,358209,452086,241425
