規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1164025,454550,417490,37060,709475,138697,127506,120989,6517,11191
100～499人,946430,406600,373280,33320,539830,138304,121754,116236,5518,16550
100人以上,1051899,429841,394708,35133,622058,138463,124070,118150,5920,14393
30～99人,877432,384128,360101,24027,493304,116837,106136,103386,2750,10701
５～29人,669062,361093,340578,20515,307969,104186,97000,93585,3415,7186
30人以上,997348,415548,383888,31660,581800,127642,115096,110762,4334,12546
５人以上,911673,401337,372586,28751,510336,116723,106672,102766,3906,10051
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１２月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
