規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19,158.8,144.9,13.9,13.6,82.5,79.9,2.6
５人以上,建設業,19.3,167.7,149,18.7,13.8,85.2,83.3,1.9
５人以上,製造業,18.3,153.3,141.5,11.8,15,98.1,95.3,2.8
５人以上,電気・ガス・熱供給・水道業,18.2,160.3,143.4,16.9,15.1,124.6,121.7,2.9
５人以上,情報通信業,18.6,158.1,141.9,16.2,13,83.9,81.9,2
５人以上,"運輸業,郵便業",19.3,169.2,149.7,19.5,16.5,116.8,106,10.8
５人以上,"卸売業,小売業",18.9,156.2,146.3,9.9,14.7,91.7,88.2,3.5
５人以上,"金融業,保険業",18.7,158.1,139.1,19,14.7,94.1,93.2,0.9
５人以上,"不動産業,物品賃貸業",19.3,161.7,146.9,14.8,13.5,84.4,79.4,5
５人以上,"学術研究,専門・技術サービス業",18.3,157,138,19,14,96.7,92.9,3.8
５人以上,"宿泊業,飲食サービス業",21.2,189,167.3,21.7,13,77.8,75.2,2.6
５人以上,"生活関連サービス業,娯楽業",20.8,171.2,160.9,10.3,13.4,89.2,88,1.2
５人以上,"教育,学習支援業",18.9,145.5,138.6,6.9,9,47.5,47,0.5
５人以上,"医療,福祉",19.6,154,147.1,6.9,13,68.4,67.5,0.9
５人以上,複合サービス事業,18.7,152.1,143.7,8.4,18.6,129.3,127.2,2.1
５人以上,サービス業（他に分類されないもの）,19,157.3,144,13.3,15.5,92.6,90.4,2.2
30人以上,調査産業計,18.8,157.6,143.2,14.4,14.2,85.6,82.9,2.7
30人以上,建設業,19,166.2,146.2,20,14.4,97.2,92.8,4.4
30人以上,製造業,18.3,154.5,141.4,13.1,15,102.3,98.3,4
30人以上,電気・ガス・熱供給・水道業,18,160.3,142.7,17.6,15.2,134.3,131,3.3
30人以上,情報通信業,18.5,158.3,141.6,16.7,12.7,78.9,76.7,2.2
30人以上,"運輸業,郵便業",19.3,167.7,149,18.7,16.5,120.3,108.3,12
30人以上,"卸売業,小売業",18.8,154.8,144.5,10.3,15.8,98.2,94.5,3.7
30人以上,"金融業,保険業",18.7,158.6,138.1,20.5,14.7,93.5,92.6,0.9
30人以上,"不動産業,物品賃貸業",19.1,159.8,144.9,14.9,15,85.2,81.3,3.9
30人以上,"学術研究,専門・技術サービス業",18.5,157.4,137.2,20.2,14.2,105,99.6,5.4
30人以上,"宿泊業,飲食サービス業",20.3,181.2,158.9,22.3,14,80.2,77.7,2.5
30人以上,"生活関連サービス業,娯楽業",20.6,169.6,158.8,10.8,13.8,90.5,89.2,1.3
30人以上,"教育,学習支援業",19,145.5,138.3,7.2,8.4,43.9,43.6,0.3
30人以上,"医療,福祉",19.9,154.3,147.3,7,13.8,70.4,69.6,0.8
30人以上,複合サービス事業,19.2,152.6,140.9,11.7,20,129.7,129.6,0.1
30人以上,サービス業（他に分類されないもの）,18.7,155,142.1,12.9,15.8,96.3,93.8,2.5
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年５月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
