規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.6,19.1,17.9,152.4,160.2,139.7,138.3,143.8,129.3,14.1,16.4,10.4
100～499人,18.7,19.2,17.9,152,161.3,135.3,138.9,145.5,127,13.1,15.8,8.3
100人以上,18.7,19.1,17.9,152.2,160.8,137.4,138.6,144.7,128.1,13.6,16.1,9.3
30～99人,18.1,19,17,140.2,154.3,122.8,130.1,141,116.7,10.1,13.3,6.1
５～29人,17.5,18.7,16,135.7,152.5,115.3,126.5,140,110.1,9.2,12.5,5.2
30人以上,18.5,19.1,17.5,148.1,158.7,131.6,135.7,143.5,123.6,12.4,15.2,8
５人以上,18.2,19,17,144.2,156.9,126.1,132.8,142.5,119,11.4,14.4,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
