行,経度,緯度,施設名,郵便番号,所在地,電話番号,URL
1,139.482917,35.527439,つくし野天使幼稚園,194-0001,町田市つくし野2-18-4,042-795-5127,http://www.tsukushinotenshi.com/
2,139.474982,35.517007,南つくし野保育園,194-0002,町田市南つくし野2-17-1,042-788-5228,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2705.html
3,139.475184,35.527463,もりのおがわ保育園,194-0003,町田市小川1-11-2,042-788-7025,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2706.html
4,139.470971,35.521951,こびとのもり保育園,194-0003,町田市小川6-1-32,042-850-5423,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2698.html
5,139.471482,35.521084,南ヶ丘幼稚園,194-0003,町田市小川6-2-1,042-795-0057,http://www.minamigaokayouchien.jp/
6,139.476493,35.528623,小川幼稚園,194-0003,町田市小川1-18ー1,042-795-1134,http://www.ogawafkm.server-shared.com/
7,139.466922,35.519515,田園保育園,194-0004,町田市鶴間411-4,042-795-1081,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2693.html
8,139.474284,35.511193,レイモンド南町田保育園,194-0004,町田市鶴間8-4-30　クレインドビル1Ｆ,042-706-9641,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2708.html
9,139.468965,35.522857,光の原保育園,194-0005,町田市南町田1-3-48,042-788-5381,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2695.html
10,139.466798,35.514862,ハッピードリーム鶴間,194-0005,町田市南町田4-22-7,042-796-3322,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2694.html
11,139.463676,35.520953,保育室こどものいえ ,194-0005,町田市南町田1-36-2,042-814-8211,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4220.html
12,139.472105,35.515295,野いちご保育室,194-0005,町田市南町田3-44-60　キャロットハウス103,042-850-6343,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4223.html
13,139.469112,35.520581,鶴間幼稚園,194-0005,町田市南町田2-12-1,042-795-1450,http://www.kinder.ne.jp/~tsuruma-k/
14,139.471426,35.514263,ポピンズナーサリースクール南町田,194-0005,町田市南町田5-14-4　ガーデンセシアセシアプラザ内2階,042-710-5150,https://kosodate-machida.tokyo.jp/mokuteki/4/8/2768.html
15,139.46793,35.536168,成瀬南野保育園,194-0011,町田市成瀬が丘3-22-1,042-795-2101,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2704.html
16,139.472089,35.535134,わかくさのおうち,194-0011,町田市成瀬が丘2-23-14,042-812-4808,https://kosodate-machida.tokyo.jp/mokuteki/4/syokibohoiku/4215.html
17,139.454048,35.532559,こうりん保育園,194-0012,町田市金森7-6-1,042-725-7070,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2701.html
18,139.455194,35.522738,こばと保育園,194-0012,町田市金森6-37-18,042-796-3628,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2697.html
19,139.461232,35.525449,光認定こども園,194-0012,町田市金森3-41-1,042-796-1912,http://www.n-hikariyouchien.ed.jp/
20,139.45307,35.536609,町田ひまわり幼稚園,194-0012,町田市金森1-8ー26  ,042-726-1207,http://www.machida-himawari.jp/
21,139.447812,35.544554,市立町田保育園,194-0013,町田市原町田6-26-15,042-722-2679,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2684.html
22,139.452368,35.540834,こひつじ保育園,194-0013,町田市原町田2-11-5,042-722-2672,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2682.html
23,139.448646,35.545057,赤ちゃんの家保育園,194-0013,町田市原町田6-27-10,042-726-9558,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2678.html
24,139.455337,35.541461,こひつじ保育園　分園,194-0013,町田市原町田2-18-3,042-739-2251,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2682.html
25,139.448148,35.546922,なごみ保育園,194-0013,町田市原町田5-1-5,042-724-0753,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2688.html
26,139.454828,35.542893,なごみ第二保育園,194-0013,町田市原町田3-19-6,042-739-3753,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2689.html
27,139.446955,35.545758,太陽の子町田駅前保育園,194-0013,町田市原町田6-17-8　クオーレ1階,042-709-7177,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2690.html
28,139.449385,35.546069,つながり保育園・まちだ,194-0013,町田市原町田5-3-8　グラン・シャリオ町田1F,042-775-6300,https://kosodate-machida.tokyo.jp/mokuteki/4/syokibohoiku/4213.html
29,139.451978,35.541611,原町田幼稚園,194-0013,町田市原町田3-9?16,042-722-2454,http://www.h4.dion.ne.jp/~hara3916/
30,139.447465,35.545659,町田プチ・クレイシュ,194-0013,町田市原町田6-28-19　フジビル98　1F,042-727-9188,https://kosodate-machida.tokyo.jp/mokuteki/4/8/2766.html
31,139.448473,35.541191,にじいろ保育園サクセス町田,194-0013,町田市原町田4-1-11　大塚プラザビル3階,042-721-1808,https://kosodate-machida.tokyo.jp/mokuteki/4/8/2764.html
32,139.461058,35.541877,高ヶ坂保育園,194-0014,町田市高ヶ坂6-2-10,042-727-2373,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2699.html
