年度,Fiscal year,区分,Classification,総数 Total／総数 Total,総数 Total／男 Male,総数 Total／女 Female,国立 National,公立 Public,私立 Private,(再掲)全日制課程 (Relisted) full-time,(再掲)定時制課程 (Relisted) part-time
平成26,2014,総数,Total,98535,48343,50192,1088,41265,56182,95023,3512
平成27,2015,総数,Total,100635,49136,51499,1098,42314,57223,97181,3454
平成28,2016,総数,Total,100422,48941,51481,1085,42567,56770,97067,3355
平成28,2016,進学者(A),Enrollment in higher education institutions(A),66778,30786,35992,678,22661,43439,66013,765
平成28,2016,進学者(A)／大学,Enrollment in higher education institutions(A)／Colleges and universities,64161,30535,33626,677,21248,42236,63472,689
平成28,2016,進学者(A)／短期大学,Enrollment in higher education institutions(A)／Junior colleges,2532,225,2307,1,1377,1154,2467,65
平成28,2016,進学者(A)／大学・短期大学の通信教育部,Enrollment in higher education institutions(A)／Correspondence courses of universities and junior colleges,37,16,21,-,30,7,26,11
平成28,2016,進学者(A)／大学・短期大学の別科,Enrollment in higher education institutions(A)／Universities and junior colleges， special course ,13,7,6,-,3,10,13,-
平成28,2016,進学者(A)／高等学校の専攻科,Enrollment in higher education institutions(A)／Senior high schools， advanced course,35,3,32,-,3,32,35,-
平成28,2016,進学者(A)／特別支援学校高等部専攻科,Enrollment in higher education institutions(A)／Special needs education schools， upper secondary course， advanced course,-,-,-,-,-,-,-,-
平成28,2016,専修学校（専門課程）進学者 (B),Enrollment in specialized training schools (specialized course) (B),12395,5181,7214,1,8369,4025,11753,642
平成28,2016,専修学校（一般課程）等入学者 (C),Enrollment in specialized training schools (general course) and others (C),5649,3582,2067,-,2255,3394,5569,80
平成28,2016,公共職業能力開発施設等入学者 (D),Enrollment in public vocational training facilities and others (D),278,205,73,-,240,38,162,116
平成28,2016,就職者,Employed,6838,4085,2753,2,5601,1235,5890,948
平成28,2016,就職者／正規の職員等,Employed／Regular worker,6774,4049,2725,2,5552,1220,5848,926
平成28,2016,就職者／正規の職員等でない者,Employed／Non-regular workers,64,36,28,-,49,15,42,22
平成28,2016,一時的な仕事に就いた者,Temporary workers,708,240,468,-,623,85,411,297
平成28,2016,上記以外の者,Persons other than the above,7715,4812,2903,404,2802,4509,7209,506
平成28,2016,不詳・死亡,Unknown or deceased,61,50,11,-,16,45,60,1
平成28,2016,（再掲）上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,8,1,7,-,7,1,7,1
平成28,2016,（再掲）上記就職している者のうち正規の職員等,(Relisted)Working in regular positions,4,1,3,-,3,1,3,1
平成28,2016,（再掲）上記就職している者のうち正規の職員等でない者,(Relisted)Working in non-regular positions,4,-,4,-,4,-,4,-
,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-7  高等学校卒業後の状況 （平成26～平成28年度） 17-7  STATUS OF GRADUATES OF SENIOR HIGH SCHOOLS  ( Fiscal Years 2014-2016 ),,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」  Source: Bureau of General Affairs， TMG,,,,,,,,,,,
