年度,Fiscal year,幼稚園 Kindergarten,小学校 Elementary school,中学校 Junior high school,中等教育学校 Secondary education school,高等学校(全日制) Senior high school (Full-time),高等学校(定時制) Senior high school (part-time),高等学校(通信制) Senior high school (correspondence course),高等専門学校 Technical college,特別支援学校 Special needs school
平成25,2013,17675,52053,72156,118584,56661,41034,305,…,36131
平成26,2014,17998,53451,73782,134622,58095,41783,331,…,37227
平成27,2015,17742,55516,75699,131446,59799,42193,289,…,38206
,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-2  公立学校別保護者が負担する一人当たり学校納付金 (平成25～27年度) 17-2  SCHOOL FEES PAID BY GUARDIANS PER CHILD BY TYPE OF PUBLIC SCHOOL ( Fiscal Years 2013-2015 ) ,,,,,,,,,,
保護者が負担する学校納付金とは，教材費，学校給食費等をいい，入学金，授業料等を含まない。,,,,,,,,,,
School fees paid by guardians include expenses for textbooks and other learning materials and school meals， but exclude school admission fees and tuition fees， among others. ,,,,,,,,,,
資料：都教育庁総務部教育情報課 「保護者が負担する教育費調査報告書－学校納付金調査－」   Source: Office of Education， TMG,,,,,,,,,,
（単位　円）(In yen)  ,,,,,,,,,,
