,参議院議員選挙/調査数,参議院議員選挙/ネット選挙運動の規制が緩和され、より自由に選挙運動ができることが望ましい,参議院議員選挙/ネット選挙運動の規制をより強化する,参議院議員選挙/現状のままでよい,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/ネット選挙運動の規制が緩和され、より自由に選挙運動ができることが望ましい,東京都知事選挙/ネット選挙運動の規制をより強化する,東京都知事選挙/現状のままでよい,東京都知事選挙/わからない
全体,1516,436,80,464,536,1516,436,80,464,536
全体,100.0,28.8,5.3,30.6,35.4,100.0,28.8,5.3,30.6,35.4
性別男性,706,250,38,211,207,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性別男性,100.0,35.4,5.4,29.9,29.3,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性別女性,810,186,42,253,329,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性別女性,100.0,23.0,5.2,31.2,40.6,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別18歳,6,2,-,3,1,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別18歳,100.0,33.3,-,50.0,16.7,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別19歳,11,6,-,2,3,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別19歳,100.0,54.5,-,18.2,27.3,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別20歳代,97,42,6,30,19,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別20歳代,100.0,43.3,6.2,30.9,19.6,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別30歳代,214,94,13,71,36,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別30歳代,100.0,43.9,6.1,33.2,16.8,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別40歳代,345,133,22,98,92,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別40歳代,100.0,38.6,6.4,28.4,26.7,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別50歳代,272,72,15,101,84,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別50歳代,100.0,26.5,5.5,37.1,30.9,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別60歳代,309,45,12,104,148,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別60歳代,100.0,14.6,3.9,33.7,47.9,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別70歳代,197,35,10,44,108,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別70歳代,100.0,17.8,5.1,22.3,54.8,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別80歳以上,65,7,2,11,45,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
年齢別80歳以上,100.0,10.8,3.1,16.9,69.2,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性18歳,1,-,-,1,-,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性18歳,100.0,-,-,100.0,-,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性19歳,8,5,-,2,1,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性19歳,100.0,62.5,-,25.0,12.5,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性20歳代,43,24,3,9,7,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性20歳代,100.0,55.8,7.0,20.9,16.3,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性30歳代,100,57,8,27,8,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性30歳代,100.0,57.0,8.0,27.0,8.0,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性40歳代,149,72,7,42,28,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性40歳代,100.0,48.3,4.7,28.2,18.8,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性50歳代,133,43,6,49,35,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性50歳代,100.0,32.3,4.5,36.8,26.3,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性60歳代,144,26,8,49,61,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性60歳代,100.0,18.1,5.6,34.0,42.4,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性70歳代,96,18,5,25,48,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性70歳代,100.0,18.8,5.2,26.0,50.0,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性80歳以上,32,5,1,7,19,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別男性80歳以上,100.0,15.6,3.1,21.9,59.4,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性18歳,5,2,-,2,1,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性18歳,100.0,40.0,-,40.0,20.0,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性19歳,3,1,-,-,2,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
