,調査数,旅行に出かけていたから,投票日を忘れていたから、知らなかったから,投票所へ行くのが面倒だったから,投票所が遠かった（不便だった、わからなかった）から,適当な候補者がいなかったから,候補者の人柄や政策がわからなかったから,政治や選挙には関心がないから,仕事が忙しく、時間がなかったから,病気（看病を含む）又は体調が悪かったから,選挙によって政治や暮らしが良くなるわけではないから,自分一人が投票しなくても選挙の結果に影響がないから,その他,わからない、忘れた,無回答
全体実数,563,21,14,48,10,164,65,50,165,109,86,56,55,3,5
全体（％）,100.0,3.7,2.5,8.5,1.8,29.1,11.5,8.9,29.3,19.4,15.3,9.9,9.8,0.5,0.9
性別男性実数,258,12,9,21,3,80,31,19,93,30,40,27,23,3,1
性別男性（％）,100.0,4.7,3.5,8.1,1.2,31.0,12.0,7.4,36.0,11.6,15.5,10.5,8.9,1.2,0.4
性別女性実数,305,9,5,27,7,84,34,31,72,79,46,29,32,-,4
性別女性（％）,100.0,3.0,1.6,8.9,2.3,27.5,11.1,10.2,23.6,25.9,15.1,9.5,10.5,-,1.3
年齢別20歳代実数,80,4,5,13,3,14,10,9,40,3,17,13,5,1,1
年齢別20歳代（％）,100.0,5.0,6.3,16.3,3.8,17.5,12.5,11.3,50.0,3.8,21.3,16.3,6.3,1.3,1.3
年齢別30歳代実数,95,1,5,10,1,27,10,7,37,10,13,11,9,-,-
年齢別30歳代（％）,100.0,1.1,5.3,10.5,1.1,28.4,10.5,7.4,38.9,10.5,13.7,11.6,9.5,-,-
年齢別40歳代実数,113,6,1,10,2,42,16,13,37,13,13,9,14,-,-
年齢別40歳代（％）,100.0,5.3,0.9,8.8,1.8,37.2,14.2,11.5,32.7,11.5,11.5,8.0,12.4,-,-
年齢別50歳代実数,96,5,1,8,1,33,10,8,31,11,17,9,9,2,1
年齢別50歳代（％）,100.0,5.2,1.0,8.3,1.0,34.4,10.4,8.3,32.3,11.5,17.7,9.4,9.4,2.1,1.0
年齢別60歳代実数,80,2,1,3,1,30,13,3,19,13,16,6,13,-,3
年齢別60歳代（％）,100.0,2.5,1.3,3.8,1.3,37.5,16.3,3.8,23.8,16.3,20.0,7.5,16.3,-,3.8
年齢別70歳代実数,55,2,1,2,1,13,4,7,1,27,9,6,3,-,-
年齢別70歳代（％）,100.0,3.6,1.8,3.6,1.8,23.6,7.3,12.7,1.8,49.1,16.4,10.9,5.5,-,-
年齢別80歳以上実数,44,1,-,2,1,5,2,3,-,32,1,2,2,-,-
年齢別80歳以上（％）,100.0,2.3,-,4.5,2.3,11.4,4.5,6.8,-,72.7,2.3,4.5,4.5,-,-
性/年齢別男性20歳代実数,41,1,4,7,1,6,4,3,20,1,10,9,2,1,-
性/年齢別男性20歳代（％）,100.0,2.4,9.8,17.1,2.4,14.6,9.8,7.3,48.8,2.4,24.4,22.0,4.9,2.4,-
性/年齢別男性30歳代実数,41,-,3,3,-,13,6,1,21,2,4,5,4,-,-
性/年齢別男性30歳代（％）,100.0,-,7.3,7.3,-,31.7,14.6,2.4,51.2,4.9,9.8,12.2,9.8,-,-
性/年齢別男性40歳代実数,56,4,1,5,1,24,9,6,19,3,9,4,6,-,-
性/年齢別男性40歳代（％）,100.0,7.1,1.8,8.9,1.8,42.9,16.1,10.7,33.9,5.4,16.1,7.1,10.7,-,-
性/年齢別男性50歳代実数,53,3,1,4,-,16,5,3,20,5,6,5,3,2,1
性/年齢別男性50歳代（％）,100.0,5.7,1.9,7.5,-,30.2,9.4,5.7,37.7,9.4,11.3,9.4,5.7,3.8,1.9
性/年齢別男性60歳代実数,36,1,-,2,1,16,5,1,13,5,6,2,6,-,-
性/年齢別男性60歳代（％）,100.0,2.8,-,5.6,2.8,44.4,13.9,2.8,36.1,13.9,16.7,5.6,16.7,-,-
性/年齢別男性70歳代実数,18,2,-,-,-,4,1,4,-,6,4,1,1,-,-
性/年齢別男性70歳代（％）,100.0,11.1,-,-,-,22.2,5.6,22.2,-,33.3,22.2,5.6,5.6,-,-
性/年齢別男性80歳以上実数,13,1,-,-,-,1,1,1,-,8,1,1,1,-,-
性/年齢別男性80歳以上（％）,100.0,7.7,-,-,-,7.7,7.7,7.7,-,61.5,7.7,7.7,7.7,-,-
性/年齢別女性20歳代実数,39,3,1,6,2,8,6,6,20,2,7,4,3,-,1
性/年齢別女性20歳代（％）,100.0,7.7,2.6,15.4,5.1,20.5,15.4,15.4,51.3,5.1,17.9,10.3,7.7,-,2.6
性/年齢別女性30歳代実数,54,1,2,7,1,14,4,6,16,8,9,6,5,-,-
性/年齢別女性30歳代（％）,100.0,1.9,3.7,13.0,1.9,25.9,7.4,11.1,29.6,14.8,16.7,11.1,9.3,-,-
性/年齢別女性40歳代実数,57,2,-,5,1,18,7,7,18,10,4,5,8,-,-
性/年齢別女性40歳代（％）,100.0,3.5,-,8.8,1.8,31.6,12.3,12.3,31.6,17.5,7.0,8.8,14.0,-,-
