,調査数,国政全体のことを考えてくれる人だと思ったから,自分の日常の暮らしを守ってくれる人だと思ったから,候補者の政策や主張に賛成だから,地元の利益を考えてくれる人だと思ったから,自分の仕事や職業上の利益を守ってくれる人だと思ったから,テレビや新聞などマスコミを通して知っている人だから,人柄、経歴などから国政を託すのに最適な人だと思ったから,自分の支持する政党の推薦する人だから,団体や組織や知人に頼まれたから,テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,ポスターや選挙公報などを見て、ふさわしい人だと思ったから,その他,特に理由はない（なんとなく）,わからない,無回答
全体実数,1246,335,261,407,99,38,29,175,348,30,52,18,65,89,73,103,15,2
全体（％）,100.0,26.9,20.9,32.7,7.9,3.0,2.3,14.0,27.9,2.4,4.2,1.4,5.2,7.1,5.9,8.3,1.2,0.2
性別男性実数,617,161,104,213,48,24,13,94,187,12,22,8,20,46,39,54,6,-
性別男性（％）,100.0,26.1,16.9,34.5,7.8,3.9,2.1,15.2,30.3,1.9,3.6,1.3,3.2,7.5,6.3,8.8,1.0,-
性別女性実数,629,174,157,194,51,14,16,81,161,18,30,10,45,43,34,49,9,2
性別女性（％）,100.0,27.7,25.0,30.8,8.1,2.2,2.5,12.9,25.6,2.9,4.8,1.6,7.2,6.8,5.4,7.8,1.4,0.3
年齢別20歳代実数,91,18,12,25,5,5,4,7,28,2,1,5,4,9,4,14,2,-
年齢別20歳代（％）,100.0,19.8,13.2,27.5,5.5,5.5,4.4,7.7,30.8,2.2,1.1,5.5,4.4,9.9,4.4,15.4,2.2,-
年齢別30歳代実数,161,25,23,41,7,4,6,9,35,3,5,2,5,6,14,24,4,-
年齢別30歳代（％）,100.0,15.5,14.3,25.5,4.3,2.5,3.7,5.6,21.7,1.9,3.1,1.2,3.1,3.7,8.7,14.9,2.5,-
年齢別40歳代実数,247,58,48,75,15,8,3,28,59,5,10,4,17,25,20,20,-,-
年齢別40歳代（％）,100.0,23.5,19.4,30.4,6.1,3.2,1.2,11.3,23.9,2.0,4.0,1.6,6.9,10.1,8.1,8.1,-,-
年齢別50歳代実数,195,47,34,65,18,8,3,22,53,8,10,5,11,14,10,15,3,-
年齢別50歳代（％）,100.0,24.1,17.4,33.3,9.2,4.1,1.5,11.3,27.2,4.1,5.1,2.6,5.6,7.2,5.1,7.7,1.5,-
年齢別60歳代実数,233,85,55,89,18,7,5,48,70,2,5,1,11,15,7,11,2,-
年齢別60歳代（％）,100.0,36.5,23.6,38.2,7.7,3.0,2.1,20.6,30.0,0.9,2.1,0.4,4.7,6.4,3.0,4.7,0.9,-
年齢別70歳代実数,239,79,64,87,27,6,4,43,78,6,12,-,13,14,17,15,3,2
年齢別70歳代（％）,100.0,33.1,26.8,36.4,11.3,2.5,1.7,18.0,32.6,2.5,5.0,-,5.4,5.9,7.1,6.3,1.3,0.8
年齢別80歳以上実数,80,23,25,25,9,-,4,18,25,4,9,1,4,6,1,4,1,-
年齢別80歳以上（％）,100.0,28.8,31.3,31.3,11.3,-,5.0,22.5,31.3,5.0,11.3,1.3,5.0,7.5,1.3,5.0,1.3,-
性/年齢別男性20歳代実数,49,7,5,10,2,4,2,2,20,1,1,2,-,3,2,9,1,-
性/年齢別男性20歳代（％）,100.0,14.3,10.2,20.4,4.1,8.2,4.1,4.1,40.8,2.0,2.0,4.1,-,6.1,4.1,18.4,2.0,-
性/年齢別男性30歳代実数,75,11,10,19,3,2,4,5,16,1,3,2,1,2,9,10,2,-
