,ア）投票日前に投票できる制度（期日前投票）があること／調査数,ア）投票日前に投票できる制度（期日前投票）があること／知っている,ア）投票日前に投票できる制度（期日前投票）があること／知らなかった,ア）投票日前に投票できる制度（期日前投票）があること／無回答,イ）仕事や買い物、旅行などを理由として期日前投票ができること／調査数,イ）仕事や買い物、旅行などを理由として期日前投票ができること／知っている,イ）仕事や買い物、旅行などを理由として期日前投票ができること／知らなかった,イ）仕事や買い物、旅行などを理由として期日前投票ができること／無回答,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／調査数,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／知っている,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／知らなかった,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／無回答,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）／調査数,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）／知っている,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）／知らなかった,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）／無回答,オ）期日前投票は夜の8時までできること／調査数,オ）期日前投票は夜の8時までできること／知っている,オ）期日前投票は夜の8時までできること／知らなかった,オ）期日前投票は夜の8時までできること／無回答,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／調査数,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／知っている,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／知らなかった,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／無回答
全体実数,1827,1766,55,6,1766,1558,157,51,1766,1148,570,48,1766,1189,528,49,1766,1011,708,47,1766,460,1255,51
全体（％）,100.0,96.7,3.0,0.3,100.0,88.2,8.9,2.9,100.0,65.0,32.3,2.7,100.0,67.3,29.9,2.8,100.0,57.2,40.1,2.7,100.0,26.0,71.1,2.9
性別男性実数,882,858,22,2,858,759,70,29,858,566,265,27,858,591,239,28,858,516,316,26,858,234,595,29
性別男性（％）,100.0,97.3,2.5,0.2,100.0,88.5,8.2,3.4,100.0,66.0,30.9,3.1,100.0,68.9,27.9,3.3,100.0,60.1,36.8,3.0,100.0,27.3,69.3,3.4
性別女性実数,945,908,33,4,908,799,87,22,908,582,305,21,908,598,289,21,908,495,392,21,908,226,660,22
性別女性（％）,100.0,96.1,3.5,0.4,100.0,88.0,9.6,2.4,100.0,64.1,33.6,2.3,100.0,65.9,31.8,2.3,100.0,54.5,43.2,2.3,100.0,24.9,72.7,2.4
年齢別20歳代実数,174,162,12,-,162,137,20,5,162,92,65,5,162,98,59,5,162,76,81,5,162,54,103,5
年齢別20歳代（％）,100.0,93.1,6.9,-,100.0,84.6,12.3,3.1,100.0,56.8,40.1,3.1,100.0,60.5,36.4,3.1,100.0,46.9,50.0,3.1,100.0,33.3,63.6,3.1
年齢別30歳代実数,261,251,10,-,251,210,34,7,251,158,87,6,251,156,88,7,251,141,104,6,251,67,178,6
年齢別30歳代（％）,100.0,96.2,3.8,-,100.0,83.7,13.5,2.8,100.0,62.9,34.7,2.4,100.0,62.2,35.1,2.8,100.0,56.2,41.4,2.4,100.0,26.7,70.9,2.4
年齢別40歳代実数,365,361,3,1,361,317,33,11,361,236,115,10,361,246,105,10,361,205,146,10,361,99,251,11
年齢別40歳代（％）,100.0,98.9,0.8,0.3,100.0,87.8,9.1,3.0,100.0,65.4,31.9,2.8,100.0,68.1,29.1,2.8,100.0,56.8,40.4,2.8,100.0,27.4,69.5,3.0
