,参議院議員選挙/調査数,参議院議員選挙/新聞,参議院議員選挙/雑誌,参議院議員選挙/ラジオ,参議院議員選挙/テレビ,参議院議員選挙/パソコンでのインターネット,参議院議員選挙/携帯電話・スマートフォン・タブレット等でのインターネット,参議院議員選挙/その他,参議院議員選挙/特にない,東京都知事選挙/調査数,東京都知事選挙/新聞,東京都知事選挙/雑誌,東京都知事選挙/ラジオ,東京都知事選挙/テレビ,東京都知事選挙/パソコンでのインターネット,東京都知事選挙/携帯電話・スマートフォン・タブレット等でのインターネット,東京都知事選挙/その他,東京都知事選挙/特にない
全体,1823,1211,200,292,1614,727,901,5,11.0,1823,1211,200,292,1614,727,901,5,11.0
全体,100.0,66.4,11.0,16.0,88.5,39.9,49.4,0.3,0.6,100.0,66.4,11.0,16.0,88.5,39.9,49.4,0.3,0.6
性別男性,852,583,93,155,749,383,445,2,5,852,583,93,155,749,383,445,2,5
性別男性,100.0,68.4,10.9,18.2,87.9,45.0,52.2,0.2,0.6,100.0,68.4,10.9,18.2,87.9,45.0,52.2,0.2,0.6
性別女性,971,628,107,137,865,344,456,3,6.0,971,628,107,137,865,344,456,3,6.0
性別女性,100.0,64.7,11.0,14.1,89.1,35.4,47.0,0.3,0.6,100.0,64.7,11.0,14.1,89.1,35.4,47.0,0.3,0.6
年齢別18歳,7,3,1,-,7,4,6,-,-,7,3,1,-,7,4,6,-,-
年齢別18歳,100.0,42.9,14.3,-,100.0,57.1,85.7,-,-,100.0,42.9,14.3,-,100.0,57.1,85.7,-,-
年齢別19歳,20,3,2,-,15,13,20,-,-,20,3,2,-,15,13,20,-,-
年齢別19歳,100.0,15.0,10.0,-,75.0,65.0,100.0,-,-,100.0,15.0,10.0,-,75.0,65.0,100.0,-,-
年齢別20歳代,164,39,40,11,132,121,143,-,1,164,39,40,11,132,121,143,-,1
年齢別20歳代,100.0,23.8,24.4,6.7,80.5,73.8,87.2,-,0.6,100.0,23.8,24.4,6.7,80.5,73.8,87.2,-,0.6
年齢別30歳代,257,117,38,16,226,167,209,-,-,257,117,38,16,226,167,209,-,-
年齢別30歳代,100.0,45.5,14.8,6.2,87.9,65.0,81.3,-,-,100.0,45.5,14.8,6.2,87.9,65.0,81.3,-,-
年齢別40歳代,398,260,59,40,358,214,281,1,5,398,260,59,40,358,214,281,1,5
年齢別40歳代,100.0,65.3,14.8,10.1,89.9,53.8,70.6,0.3,1.3,100.0,65.3,14.8,10.1,89.9,53.8,70.6,0.3,1.3
年齢別50歳代,311,246,21,38,284,109,161,1,1,311,246,21,38,284,109,161,1,1
年齢別50歳代,100.0,79.1,6.8,12.2,91.3,35.0,51.8,0.3,0.3,100.0,79.1,6.8,12.2,91.3,35.0,51.8,0.3,0.3
年齢別60歳代,337,290,25,89,311,69,68,2,3,337,290,25,89,311,69,68,2,3
年齢別60歳代,100.0,86.1,7.4,26.4,92.3,20.5,20.2,0.6,0.9,100.0,86.1,7.4,26.4,92.3,20.5,20.2,0.6,0.9
年齢別70歳代,231,180,11,69,200,24,11,-,-,231,180,11,69,200,24,11,-,-
年齢別70歳代,100.0,77.9,4.8,29.9,86.6,10.4,4.8,-,-,100.0,77.9,4.8,29.9,86.6,10.4,4.8,-,-
年齢別80歳以上,98,73,3,29,81,6,2,1,1,98,73,3,29,81,6,2,1,1
年齢別80歳以上,100.0,74.5,3.1,29.6,82.7,6.1,2,1.0,1.0,100.0,74.5,3.1,29.6,82.7,6.1,2,1.0,1.0
性/年齢別男性18歳,1,1,-,-,1,-,1,-,-,1,1,-,-,1,-,1,-,-
