,参議院議員選挙／調査数,参議院議員選挙／目にした,参議院議員選挙／目にしなかった,参議院議員選挙／わからない、忘れた,東京都知事選挙／調査数,東京都知事選挙／目にした,東京都知事選挙／目にしなかった,東京都知事選挙／わからない、忘れた
全体,1823,1208,420,195,1823,1232,407,184
全体,100.0,66.3,23.0,10.7,100.0,67.6,22.3,10.1
性別男性,852,571,199,82,852,577,194,81
性別男性,100.0,67.0,23.4,9.6,100.0,67.7,22.8,9.5
性別女性,971,637,221,113,971,655,213,103
性別女性,100.0,65.6,22.8,11.6,100.0,67.5,21.9,10.6
年齢別18歳,7,3,3,1,7,3,3,1
年齢別18歳,100.0,42.9,42.9,14.3,100.0,42.9,42.9,14.3
年齢別19歳,20,6,10,4,20,6,10,4
年齢別19歳,100.0,30.0,50.0,20.0,100.0,30.0,50.0,20.0
年齢別20歳代,164,59,84,21,164,61,81,22
年齢別20歳代,100.0,36.0,51.2,12.8,100.0,37.2,49.4,13.4
年齢別30歳代,257,151,83,23,257,159,75,23
年齢別30歳代,100.0,58.8,32.3,8.9,100.0,61.9,29.2,8.9
年齢別40歳代,398,274,83,41,398,279,82,37
年齢別40歳代,100.0,68.8,20.9,10.3,100.0,70.1,20.6,9.3
年齢別50歳代,311,230,59,22,311,233,57,21
年齢別50歳代,100.0,74.0,19.0,7.1,100.0,74.9,18.3,6.8
年齢別60歳代,337,251,53,33,337,254,56,27
年齢別60歳代,100.0,74.5,15.7,9.8,100.0,75.4,16.6,8.0
年齢別70歳代,231,176,27,28,231,178,25,28
年齢別70歳代,100.0,76.2,11.7,12.1,100.0,77.1,10.8,12.1
年齢別80歳以上,98,58,18,22,98,59,18,21
年齢別80歳以上,100.0,59.2,18.4,22.4,100.0,60.2,18.4,21.4
性/年齢別男性18歳,1,1,-,-,1,1,-,-
性/年齢別男性18歳,100.0,100.0,-,-,100.0,100.0,-,-
性/年齢別男性19歳,12,5,4,3,12,5,4,3
性/年齢別男性19歳,100.0,41.7,33.3,25.0,100.0,41.7,33.3,25.0
性/年齢別男性20歳代,83,26,44,13,83,26,44,13
性/年齢別男性20歳代,100.0,31.3,53.0,15.7,100.0,31.3,53.0,15.7
性/年齢別男性30歳代,122,76,33,13,122,80,29,13
性/年齢別男性30歳代,100.0,62.3,27.0,10.7,100.0,65.6,23.8,10.7
性/年齢別男性40歳代,170,121,35,14,170,122,36,12
性/年齢別男性40歳代,100.0,71.2,20.6,8.2,100.0,71.8,21.2,7.1
性/年齢別男性50歳代,152,114,29,9,152,116,27,9
性/年齢別男性50歳代,100.0,75.0,19.1,5.9,100.0,76.3,17.8,5.9
性/年齢別男性60歳代,157,114,31,12,157,114,31,12
性/年齢別男性60歳代,100.0,72.6,19.7,7.6,100.0,72.6,19.7,7.6
性/年齢別男性70歳代,107,84,13,10,107,83,13,11
性/年齢別男性70歳代,100.0,78.5,12.1,9.3,100.0,77.6,12.1,10.3
性/年齢別男性80歳以上,48,30,10,8,48,30,10,8
性/年齢別男性80歳以上,100.0,62.5,20.8,16.7,100.0,62.5,20.8,16.7
性/年齢別女性18歳,6,2,3,1,6,2,3,1
性/年齢別女性18歳,100.0,33.3,50.0,16.7,100.0,33.3,50.0,16.7
性/年齢別女性19歳,8,1,6,1,8,1,6,1
性/年齢別女性19歳,100.0,12.5,75.0,12.5,100.0,12.5,75.0,12.5
性/年齢別女性20歳代,81,33,40,8,81,35,37,9
性/年齢別女性20歳代,100.0,40.7,49.4,9.9,100.0,43.2,45.7,11.1
性/年齢別女性30歳代,135,75,50,10,135,79,46,10
性/年齢別女性30歳代,100.0,55.6,37.0,7.4,100.0,58.5,34.1,7.4
性/年齢別女性40歳代,228,153,48,27,228,157,46,25
性/年齢別女性40歳代,100.0,67.1,21.1,11.8,100.0,68.9,20.2,11.0
性/年齢別女性50歳代,159,116,30,13,159,117,30,12
