,参議院議員選挙/調査数,参議院議員選挙/18歳,参議院議員選挙/19歳,参議院議員選挙/20～24歳,参議院議員選挙/25～29歳,参議院議員選挙/30～34歳,参議院議員選挙/35～39歳,参議院議員選挙/40～44歳,参議院議員選挙/45～49歳,参議院議員選挙/50～54歳,参議院議員選挙/55～59歳,参議院議員選挙/60～64歳,参議院議員選挙/65～69歳,参議院議員選挙/70～74歳,参議院議員選挙/75～79歳,参議院議員選挙/80歳以上,東京都知事選挙/調査数,東京都知事選挙/18歳,東京都知事選挙/19歳,東京都知事選挙/20～24歳,東京都知事選挙/25～29歳,東京都知事選挙/30～34歳,東京都知事選挙/35～39歳,東京都知事選挙/40～44歳,東京都知事選挙/45～49歳,東京都知事選挙/50～54歳,東京都知事選挙/55～59歳,東京都知事選挙/60～64歳,東京都知事選挙/65～69歳,東京都知事選挙/70～74歳,東京都知事選挙/75～79歳,東京都知事選挙/80歳以上
全体,1823,7,20,72,92,110,147,197,201,163,148,136,201,119,112,98,1823,7,20,72,92,110,147,197,201,163,148,136,201,119,112,98
全体,100.0,0.4,1.1,3.9,5.0,6.0,8.1,10.8,11.0,8.9,8.1,7.5,11.0,6.5,6.1,5.4,100.0,0.4,1.1,3.9,5.0,6.0,8.1,10.8,11.0,8.9,8.1,7.5,11.0,6.5,6.1,5.4
性別男性,852,1,12,35,48,48,74,86,84,84,68,57,100,55,52,48,852,1,12,35,48,48,74,86,84,84,68,57,100,55,52,48
性別男性,100.0,0.1,1.4,4.1,5.6,5.6,8.7,10.1,9.9,9.9,8.0,6.7,11.7,6.5,6.1,5.6,100.0,0.1,1.4,4.1,5.6,5.6,8.7,10.1,9.9,9.9,8.0,6.7,11.7,6.5,6.1,5.6
性別女性,971,6,8,37,44,62,73,111,117,79,80,79,101,64,60,50,971,6,8,37,44,62,73,111,117,79,80,79,101,64,60,50
性別女性,100.0,0.6,0.8,3.8,4.5,6.4,7.5,11.4,12.0,8.1,8.2,8.1,10.4,6.6,6.2,5.1,100.0,0.6,0.8,3.8,4.5,6.4,7.5,11.4,12.0,8.1,8.2,8.1,10.4,6.6,6.2,5.1
年齢別18歳,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
年齢別18歳,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
年齢別19歳,20,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-
年齢別19歳,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
年齢別20歳代,164,-,-,72,92,-,-,-,-,-,-,-,-,-,-,-,164,-,-,72,92,-,-,-,-,-,-,-,-,-,-,-
年齢別20歳代,100.0,-,-,43.9,56.1,-,-,-,-,-,-,-,-,-,-,-,100.0,-,-,43.9,56.1,-,-,-,-,-,-,-,-,-,-,-
年齢別30歳代,257,-,-,-,-,110,147,-,-,-,-,-,-,-,-,-,257,-,-,-,-,110,147,-,-,-,-,-,-,-,-,-
年齢別30歳代,100.0,-,-,-,-,42.8,57.2,-,-,-,-,-,-,-,-,-,100.0,-,-,-,-,42.8,57.2,-,-,-,-,-,-,-,-,-
年齢別40歳代,398,-,-,-,-,-,-,197,201,-,-,-,-,-,-,-,398,-,-,-,-,-,-,197,201,-,-,-,-,-,-,-
年齢別40歳代,100.0,-,-,-,-,-,-,49.5,50.5,-,-,-,-,-,-,-,100.0,-,-,-,-,-,-,49.5,50.5,-,-,-,-,-,-,-
年齢別50歳代,311,-,-,-,-,-,-,-,-,163,148,-,-,-,-,-,311,-,-,-,-,-,-,-,-,163,148,-,-,-,-,-
年齢別50歳代,100.0,-,-,-,-,-,-,-,-,52.4,47.6,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,52.4,47.6,-,-,-,-,-
年齢別60歳代,337,-,-,-,-,-,-,-,-,-,-,136,201,-,-,-,337,-,-,-,-,-,-,-,-,-,-,136,201,-,-,-
年齢別60歳代,100.0,-,-,-,-,-,-,-,-,-,-,40.4,59.6,-,-,-,100.0,-,-,-,-,-,-,-,-,-,-,40.4,59.6,-,-,-
年齢別70歳代,231,-,-,-,-,-,-,-,-,-,-,-,-,119,112,-,231,-,-,-,-,-,-,-,-,-,-,-,-,119,112,-
年齢別70歳代,100.0,-,-,-,-,-,-,-,-,-,-,-,-,51.5,48.5,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,51.5,48.5,-
年齢別80歳以上,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98
年齢別80歳以上,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0
性/年齢別男性18歳,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性18歳,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性19歳,12,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性19歳,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性20歳代,83,-,-,35,48,-,-,-,-,-,-,-,-,-,-,-,83,-,-,35,48,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性20歳代,100.0,-,-,42.2,57.8,-,-,-,-,-,-,-,-,-,-,-,100.0,-,-,42.2,57.8,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性30歳代,122,-,-,-,-,48,74,-,-,-,-,-,-,-,-,-,122,-,-,-,-,48,74,-,-,-,-,-,-,-,-,-
性/年齢別男性30歳代,100.0,-,-,-,-,39.3,60.7,-,-,-,-,-,-,-,-,-,100.0,-,-,-,-,39.3,60.7,-,-,-,-,-,-,-,-,-
性/年齢別男性40歳代,170,-,-,-,-,-,-,86,84,-,-,-,-,-,-,-,170,-,-,-,-,-,-,86,84,-,-,-,-,-,-,-
性/年齢別男性40歳代,100.0,-,-,-,-,-,-,50.6,49.4,-,-,-,-,-,-,-,100.0,-,-,-,-,-,-,50.6,49.4,-,-,-,-,-,-,-
性/年齢別男性50歳代,152,-,-,-,-,-,-,-,-,84,68,-,-,-,-,-,152,-,-,-,-,-,-,-,-,84,68,-,-,-,-,-
性/年齢別男性50歳代,100.0,-,-,-,-,-,-,-,-,55.3,44.7,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,55.3,44.7,-,-,-,-,-
