,問３－３調査数,問３－３選挙期間に入る前から（１月22日以前）,問３－３投票日当日を除く選挙期間中（１月23日から２月８日まで）,問３－３投票日当日（２月９日）,問３－３わからない、忘れた,問３－３無回答,問３－４調査数,問３－４選挙期間に入る前から（１月22日以前）,問３－４投票するまでの選挙期間中（投票した日を除く）,問３－４投票した日当日,問３－４わからない、忘れた
全体,827,215,465,120,17,10,172,69,95,6,2
全体,100.0,26.0,56.2,14.5,2.1,1.2,100.0,40.1,55.2,3.5,1.2
性別男性,396,114,204,59,11,8,89,37,49,2,1
性別男性,100.0,28.8,51.5,14.9,2.8,2.0,100.0,41.6,55.1,2.2,1.1
性別女性,431,101,261,61,6,2,83,32,46,4,1
性別女性,100.0,23.4,60.6,14.2,1.4,0.5,100.0,38.6,55.4,4.8,1.2
年齢20歳代,45,10,28,7,-,-,7,4,3,-,-
年齢20歳代,100.0,22.2,62.2,15.6,-,-,100.0,57.1,42.9,-,-
年齢30歳代,117,18,79,17,2,1,28,5,20,3,-
年齢30歳代,100.0,15.4,67.5,14.5,1.7,0.9,100.0,17.9,71.4,10.7,-
年齢40歳代,183,33,104,40,3,3,34,11,21,1,1
年齢40歳代,100.0,18.0,56.8,21.9,1.6,1.6,100.0,32.4,61.8,2.9,2.9
年齢50歳代,146,42,68,28,6,2,32,14,18,-,-
年齢50歳代,100.0,28.8,46.6,19.2,4.1,1.4,100.0,43.8,56.3,-,-
年齢60歳代,181,59,107,10,4,1,32,16,15,1,-
年齢60歳代,100.0,32.6,59.1,5.5,2.2,0.6,100.0,50.0,46.9,3.1,-
年齢70歳代,115,33,66,12,2,2,36,18,16,1,1
年齢70歳代,100.0,28.7,57.4,10.4,1.7,1.7,100.0,50.0,44.4,2.8,2.8
年齢80歳以上,33,15,11,6,-,1,3,1,2,-,-
年齢80歳以上,100.0,45.5,33.3,18.2,-,3.0,100.0,33.3,66.7,-,-
性／年齢別男性20歳代,25,4,18,3,-,-,3,3,-,-,-
性／年齢別男性20歳代,100.0,16.0,72.0,12.0,-,-,100.0,100.0,-,-,-
性／年齢別男性30歳代,51,8,32,9,1,1,15,2,12,1,-
性／年齢別男性30歳代,100.0,15.7,62.7,17.6,2.0,2.0,100.0,13.3,80.0,6.7,-
性／年齢別男性40歳代,77,14,41,17,3,2,15,5,10,-,-
性／年齢別男性40歳代,100.0,18.2,53.2,22.1,3.9,2.6,100.0,33.3,66.7,-,-
性／年齢別男性50歳代,74,25,27,16,4,2,19,9,10,-,-
性／年齢別男性50歳代,100.0,33.8,36.5,21.6,5.4,2.7,100.0,47.4,52.6,-,-
性／年齢別男性60歳代,92,32,52,4,3,1,18,7,10,1,-
性／年齢別男性60歳代,100.0,34.8,56.5,4.3,3.3,1.1,100.0,38.9,55.6,5.6,-
性／年齢別男性70歳代,58,20,29,8,-,1,17,10,6,-,1
性／年齢別男性70歳代,100.0,34.5,50.0,13.8,-,1.7,100.0,58.8,35.3,-,5.9
性／年齢別男性80歳以上,18,10,5,2,-,1,2,1,1,-,-
性／年齢別男性80歳以上,100.0,55.6,27.8,11.1,-,5.6,100.0,50.0,50.0,-,-
性／年齢別女性20歳代,20,6,10,4,-,-,4,1,3,-,-
性／年齢別女性20歳代,100.0,30.0,50.0,20.0,-,-,100.0,25.0,75.0,-,-
性／年齢別女性30歳代,66,10,47,8,1,-,13,3,8,2,-
性／年齢別女性30歳代,100.0,15.2,71.2,12.1,1.5,-,100.0,23.1,61.5,15.4,-
性／年齢別女性40歳代,106,19,63,23,-,1,19,6,11,1,1
性／年齢別女性40歳代,100.0,17.9,59.4,21.7,-,0.9,100.0,31.6,57.9,5.3,5.3
性／年齢別女性50歳代,72,17,41,12,2,-,13,5,8,-,-
性／年齢別女性50歳代,100.0,23.6,56.9,16.7,2.8,-,100.0,38.5,61.5,-,-
性／年齢別女性60歳代,89,27,55,6,1,-,14,9,5,-,-
性／年齢別女性60歳代,100.0,30.3,61.8,6.7,1.1,-,100.0,64.3,35.7,-,-
性／年齢別女性70歳代,57,13,37,4,2,1,19,8,10,1,-
性／年齢別女性70歳代,100.0,22.8,64.9,7.0,3.5,1.8,100.0,42.1,52.6,5.3,-
性／年齢別女性80歳以上,15,5,6,4,-,-,1,-,1,-,-
