,今回選挙（ｎ=1435）(%),平成25年参議院議員選挙（ｎ=696）(%),備考
国政、都政をよくするためには、投票することが大切だと思ったから,52.5,44.0,
当選させたい候補者がいたから,36.5,24.6,
自分の支持する政党の推す候補者を当選させたかったから,34.9,29.9,
投票することは、義務であるから,28.5,33.8,
今の政治がよくないので、変えたいと思ったから,27.0,21.4,
投票することは、権利であるから,26.3,18.4,
テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから※1,6.1,-,
自分の関係する団体、組織、知り合いの人に投票を頼まれたから,5.6,6.2,
当選させたくない候補者がいたから,3.6,0.9,
投票率が気になったから※1,2.8,-,
友人や家族が行くから、なんとなく,2.5,4.5,
インターネット上の情報を見て興味を持ったから※1,1.7,-,
マスコミや市民活動で、投票率の向上が話題となっていたから※2,-,1.4,
ネット選挙が解禁されて候補者・政党の情報が集めやすくなったから※2,-,1.3,
インターネット選挙運動（ネット選挙）解禁により興味が高まったから※2,-,1.1,
その他,0.1,1.0,
わからない,1.0,0.3,
無回答,-,0.6,
,,,※1今回調査で追加
,,,※2平成25年調査のみ
