,調査数,知っている（計）,利用した,知っているが利用していない,知らない,わからない,無回答
全体実数,1827,427,37,390,1307,80,13
全体（％）,100.0,23.4,2.0,21.3,71.5,4.4,0.7
性別男性実数,882,214,17,197,627,36,5
性別男性（％）,100.0,24.3,1.9,22.3,71.1,4.1,0.6
性別女性実数,945,213,20,193,680,44,8
性別女性（％）,100.0,22.5,2.1,20.4,72.0,4.7,0.8
年齢別20歳代実数,174,33,7,26,133,7,1
年齢別20歳代（％）,100.0,19.0,4.0,14.9,76.4,4.0,0.6
年齢別30歳代実数,261,53,7,46,194,11,3
年齢別30歳代（％）,100.0,20.3,2.7,17.6,74.3,4.2,1.1
年齢別40歳代実数,365,87,13,74,271,5,2
年齢別40歳代（％）,100.0,23.8,3.6,20.3,74.2,1.4,0.5
年齢別50歳代実数,294,76,5,71,205,11,2
年齢別50歳代（％）,100.0,25.9,1.7,24.1,69.7,3.7,0.7
年齢別60歳代実数,313,86,2,84,211,16,-
年齢別60歳代（％）,100.0,27.5,0.6,26.8,67.4,5.1,-
年齢別70歳代実数,296,75,2,73,202,14,5
年齢別70歳代（％）,100.0,25.3,0.7,24.7,68.2,4.7,1.7
年齢別80歳以上実数,124,17,1,16,91,16,-
年齢別80歳以上（％）,100.0,13.7,0.8,12.9,73.4,12.9,-
性/年齢別男性20歳代実数,92,15,2,13,72,5,-
性/年齢別男性20歳代（％）,100.0,16.3,2.2,14.1,78.3,5.4,-
性/年齢別男性30歳代実数,118,21,2,19,93,3,1
性/年齢別男性30歳代（％）,100.0,17.8,1.7,16.1,78.8,2.5,0.8
性/年齢別男性40歳代実数,174,38,7,31,131,4,1
性/年齢別男性40歳代（％）,100.0,21.8,4.0,17.8,75.3,2.3,0.6
性/年齢別男性50歳代実数,161,46,3,43,107,7,1
性/年齢別男性50歳代（％）,100.0,28.6,1.9,26.7,66.5,4.3,0.6
性/年齢別男性60歳代実数,153,48,1,47,98,7,-
性/年齢別男性60歳代（％）,100.0,31.4,0.7,30.7,64.1,4.6,-
性/年齢別男性70歳代実数,134,36,1,35,90,6,2
性/年齢別男性70歳代（％）,100.0,26.9,0.7,26.1,67.2,4.5,1.5
性/年齢別男性80歳以上実数,50,10,1,9,36,4,-
性/年齢別男性80歳以上（％）,100.0,20.0,2.0,18.0,72.0,8.0,-
性/年齢別女性20歳代実数,82,18,5,13,61,2,1
性/年齢別女性20歳代（％）,100.0,22.0,6.1,15.9,74.4,2.4,1.2
性/年齢別女性30歳代実数,143,32,5,27,101,8,2
性/年齢別女性30歳代（％）,100.0,22.4,3.5,18.9,70.6,5.6,1.4
性/年齢別女性40歳代実数,191,49,6,43,140,1,1
性/年齢別女性40歳代（％）,100.0,25.7,3.1,22.5,73.3,0.5,0.5
性/年齢別女性50歳代実数,133,30,2,28,98,4,1
性/年齢別女性50歳代（％）,100.0,22.6,1.5,21.1,73.7,3.0,0.8
性/年齢別女性60歳代実数,160,38,1,37,113,9,-
性/年齢別女性60歳代（％）,100.0,23.8,0.6,23.1,70.6,5.6,-
性/年齢別女性70歳代実数,162,39,1,38,112,8,3
性/年齢別女性70歳代（％）,100.0,24.1,0.6,23.5,69.1,4.9,1.9
性/年齢別女性80歳以上実数,74,7,-,7,55,12,-
性/年齢別女性80歳以上（％）,100.0,9.5,-,9.5,74.3,16.2,-
未・既婚別未婚実数,453,95,14,81,335,20,3
未・既婚別未婚（％）,100.0,21.0,3.1,17.9,74.0,4.4,0.7
未・既婚別既婚（死別・離別を含む）実数,1366,332,23,309,965,60,9
未・既婚別既婚（死別・離別を含む）（％）,100.0,24.3,1.7,22.6,70.6,4.4,0.7
子供の有無別子供はいない実数,642,143,19,124,469,24,6
子供の有無別子供はいない（％）,100.0,22.3,3.0,19.3,73.1,3.7,0.9
子供の有無別未就学（～６歳）実数,180,39,5,34,135,5,1
子供の有無別未就学（～６歳）（％）,100.0,21.7,2.8,18.9,75.0,2.8,0.6
子供の有無別小・中・高校生実数,270,63,7,56,198,6,3
子供の有無別小・中・高校生（％）,100.0,23.3,2.6,20.7,73.3,2.2,1.1
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,26,1,25,77,3,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,24.5,0.9,23.6,72.6,2.8,-
子供の有無別学校教育終了実数,743,182,7,175,516,41,4
子供の有無別学校教育終了（％）,100.0,24.5,0.9,23.6,69.4,5.5,0.5
子供の有無別その他実数,7,4,-,4,2,1,-
子供の有無別その他（％）,100.0,57.1,-,57.1,28.6,14.3,-
職業別自営業（計）実数,152,39,2,37,105,8,-
職業別自営業（計）（％）,100.0,25.7,1.3,24.3,69.1,5.3,-
職業別農林漁業実数,3,1,-,1,2,-,-
職業別農林漁業（％）,100.0,33.3,-,33.3,66.7,-,-
職業別商工・サービス業実数,96,23,1,22,67,6,-
職業別商工・サービス業（％）,100.0,24.0,1.0,22.9,69.8,6.3,-
職業別その他自由業実数,53,15,1,14,36,2,-
職業別その他自由業（％）,100.0,28.3,1.9,26.4,67.9,3.8,-
職業別お勤め（計）実数,934,223,25,198,682,24,5
