,調査数,読んだ（計）,よく読んだ,一通りざっと読んだ,一部分だけ読んだ,読まなかった,無回答
全体実数,993,906,149,582,175,79,8
全体（％）,100.0,91.2,15.0,58.6,17.6,8.0,0.8
性別男性実数,464,421,79,262,80,40,3
性別男性（％）,100.0,90.7,17.0,56.5,17.2,8.6,0.6
性別女性実数,529,485,70,320,95,39,5
性別女性（％）,100.0,91.7,13.2,60.5,18.0,7.4,0.9
年齢別20歳代実数,57,47,7,36,4,9,1
年齢別20歳代（％）,100.0,82.5,12.3,63.2,7.0,15.8,1.8
年齢別30歳代実数,103,97,8,74,15,5,1
年齢別30歳代（％）,100.0,94.2,7.8,71.8,14.6,4.9,1.0
年齢別40歳代実数,170,160,23,92,45,9,1
年齢別40歳代（％）,100.0,94.1,13.5,54.1,26.5,5.3,0.6
年齢別50歳代実数,165,140,15,94,31,23,2
年齢別50歳代（％）,100.0,84.8,9.1,57.0,18.8,13.9,1.2
年齢別60歳代実数,210,188,32,120,36,22,-
年齢別60歳代（％）,100.0,89.5,15.2,57.1,17.1,10.5,-
年齢別70歳代実数,206,198,48,118,32,6,2
年齢別70歳代（％）,100.0,96.1,23.3,57.3,15.5,2.9,1.0
年齢別80歳以上実数,82,76,16,48,12,5,1
年齢別80歳以上（％）,100.0,92.7,19.5,58.5,14.6,6.1,1.2
性/年齢別男性20歳代実数,36,29,4,22,3,7,-
性/年齢別男性20歳代（％）,100.0,80.6,11.1,61.1,8.3,19.4,-
性/年齢別男性30歳代実数,42,38,4,28,6,3,1
性/年齢別男性30歳代（％）,100.0,90.5,9.5,66.7,14.3,7.1,2.4
性/年齢別男性40歳代実数,74,70,15,36,19,3,1
性/年齢別男性40歳代（％）,100.0,94.6,20.3,48.6,25.7,4.1,1.4
性/年齢別男性50歳代実数,80,69,6,47,16,11,-
性/年齢別男性50歳代（％）,100.0,86.3,7.5,58.8,20.0,13.8,-
性/年齢別男性60歳代実数,97,85,14,55,16,12,-
性/年齢別男性60歳代（％）,100.0,87.6,14.4,56.7,16.5,12.4,-
性/年齢別男性70歳代実数,99,96,26,54,16,2,1
性/年齢別男性70歳代（％）,100.0,97.0,26.3,54.5,16.2,2.0,1.0
性/年齢別男性80歳以上実数,36,34,10,20,4,2,-
性/年齢別男性80歳以上（％）,100.0,94.4,27.8,55.6,11.1,5.6,-
性/年齢別女性20歳代実数,21,18,3,14,1,2,1
性/年齢別女性20歳代（％）,100.0,85.7,14.3,66.7,4.8,9.5,4.8
性/年齢別女性30歳代実数,61,59,4,46,9,2,-
性/年齢別女性30歳代（％）,100.0,96.7,6.6,75.4,14.8,3.3,-
性/年齢別女性40歳代実数,96,90,8,56,26,6,-
性/年齢別女性40歳代（％）,100.0,93.8,8.3,58.3,27.1,6.3,-
性/年齢別女性50歳代実数,85,71,9,47,15,12,2
性/年齢別女性50歳代（％）,100.0,83.5,10.6,55.3,17.6,14.1,2.4
性/年齢別女性60歳代実数,113,103,18,65,20,10,-
性/年齢別女性60歳代（％）,100.0,91.2,15.9,57.5,17.7,8.8,-
性/年齢別女性70歳代実数,107,102,22,64,16,4,1
性/年齢別女性70歳代（％）,100.0,95.3,20.6,59.8,15.0,3.7,0.9
性/年齢別女性80歳以上実数,46,42,6,28,8,3,1
性/年齢別女性80歳以上（％）,100.0,91.3,13.0,60.9,17.4,6.5,2.2
未・既婚別未婚実数,186,162,18,114,30,22,2
未・既婚別未婚（％）,100.0,87.1,9.7,61.3,16.1,11.8,1.1
未・既婚別既婚（死別・離別を含む）実数,804,741,130,467,144,57,6
未・既婚別既婚（死別・離別を含む）（％）,100.0,92.2,16.2,58.1,17.9,7.1,0.7
子供の有無別子供はいない実数,288,255,33,179,43,31,2
子供の有無別子供はいない（％）,100.0,88.5,11.5,62.2,14.9,10.8,0.7
子供の有無別未就学（～６歳）実数,83,77,10,50,17,5,1
子供の有無別未就学（～６歳）（％）,100.0,92.8,12.0,60.2,20.5,6.0,1.2
子供の有無別小・中・高校生実数,136,125,16,79,30,10,1
子供の有無別小・中・高校生（％）,100.0,91.9,11.8,58.1,22.1,7.4,0.7
子供の有無別大学生・大学院生・短大生・専門学校生実数,58,49,9,34,6,9,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,84.5,15.5,58.6,10.3,15.5,-
子供の有無別学校教育終了実数,487,451,86,277,88,32,4
子供の有無別学校教育終了（％）,100.0,92.6,17.7,56.9,18.1,6.6,0.8
子供の有無別その他実数,4,4,-,4,-,-,-
子供の有無別その他（％）,100.0,100.0,-,100.0,-,-,-
職業別自営業（計）実数,91,85,15,54,16,5,1
職業別自営業（計）（％）,100.0,93.4,16.5,59.3,17.6,5.5,1.1
職業別農林漁業実数,1,1,1,-,-,-,-
