,調査数,当選させたい候補者がいたから,自分の支持する政党の推す候補者を当選させたかったから,国政をよくするためには、投票することが大切だと思ったから,今の政治がよくないので、変えたいと思ったから,自分の関係する団体、組織、知り合いの人に投票を頼まれたから,投票することは、義務であるから,投票することは、権利であるから,当選させたくない候補者がいたから,友人や家族が行くから、なんとなく,投票率が気になったから,テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,インターネット上の情報を見て興味を持ったから,その他,わからない,無回答
全体実数,1246,210,330,639,213,38,606,489,57,49,51,53,14,11,4,1
全体（％）,100.0,16.9,26.5,51.3,17.1,3.0,48.6,39.2,4.6,3.9,4.1,4.3,1.1,0.9,0.3,0.1
性別男性実数,617,112,180,314,102,15,288,250,35,16,21,21,8,4,1,1
性別男性（％）,100.0,18.2,29.2,50.9,16.5,2.4,46.7,40.5,5.7,2.6,3.4,3.4,1.3,0.6,0.2,0.2
性別女性実数,629,98,150,325,111,23,318,239,22,33,30,32,6,7,3,-
性別女性（％）,100.0,15.6,23.8,51.7,17.6,3.7,50.6,38.0,3.5,5.2,4.8,5.1,1.0,1.1,0.5,-
年齢別20歳代実数,91,7,14,46,13,3,34,41,8,10,6,4,2,-,-,-
年齢別20歳代（％）,100.0,7.7,15.4,50.5,14.3,3.3,37.4,45.1,8.8,11.0,6.6,4.4,2.2,-,-,-
年齢別30歳代実数,161,11,26,76,19,7,75,61,7,14,5,9,4,1,1,-
年齢別30歳代（％）,100.0,6.8,16.1,47.2,11.8,4.3,46.6,37.9,4.3,8.7,3.1,5.6,2.5,0.6,0.6,-
年齢別40歳代実数,247,18,47,139,47,4,108,124,13,8,15,12,6,6,-,-
年齢別40歳代（％）,100.0,7.3,19.0,56.3,19.0,1.6,43.7,50.2,5.3,3.2,6.1,4.9,2.4,2.4,-,-
年齢別50歳代実数,195,28,36,109,35,10,96,78,9,7,5,4,2,1,1,-
年齢別50歳代（％）,100.0,14.4,18.5,55.9,17.9,5.1,49.2,40.0,4.6,3.6,2.6,2.1,1.0,0.5,0.5,-
年齢別60歳代実数,233,56,90,120,54,2,125,93,8,1,6,10,-,1,1,-
年齢別60歳代（％）,100.0,24.0,38.6,51.5,23.2,0.9,53.6,39.9,3.4,0.4,2.6,4.3,-,0.4,0.4,-
年齢別70歳代実数,239,70,90,115,42,8,125,71,9,6,12,11,-,2,1,1
年齢別70歳代（％）,100.0,29.3,37.7,48.1,17.6,3.3,52.3,29.7,3.8,2.5,5.0,4.6,-,0.8,0.4,0.4
年齢別80歳以上実数,80,20,27,34,3,4,43,21,3,3,2,3,-,-,-,-
年齢別80歳以上（％）,100.0,25.0,33.8,42.5,3.8,5.0,53.8,26.3,3.8,3.8,2.5,3.8,-,-,-,-
性/年齢別男性20歳代実数,49,2,8,21,3,2,18,22,6,4,3,-,-,-,-,-
性/年齢別男性20歳代（％）,100.0,4.1,16.3,42.9,6.1,4.1,36.7,44.9,12.2,8.2,6.1,-,-,-,-,-
性/年齢別男性30歳代実数,75,5,13,34,12,2,32,25,3,5,1,5,3,-,-,-
性/年齢別男性30歳代（％）,100.0,6.7,17.3,45.3,16.0,2.7,42.7,33.3,4.0,6.7,1.3,6.7,4.0,-,-,-
