,参議院議員選挙／調査数,参議院議員選挙／見た（計）,参議院議員選挙／すべてのポスターを一枚一枚よく見た,参議院議員選挙／すべてのポスターをざっと見た,参議院議員選挙／関心のある候補者のポスターしか見なかった,参議院議員選挙／ほとんど見なかった,参議院議員選挙／わからない、忘れた,東京都知事選挙／調査数,東京都知事選挙／見た（計）,東京都知事選挙／すべてのポスターを一枚一枚よく見た,東京都知事選挙／すべてのポスターをざっと見た,東京都知事選挙／関心のある候補者のポスターしか見なかった,東京都知事選挙／ほとんど見なかった,東京都知事選挙／わからない、忘れた
全体,1823,1356,115,992,249,417,50,1823,1405,160,957,288,371,47
全体,100.0,74.4,6.3,54.4,13.7,22.9,2.7,100.0,77.1,8.8,52.5,15.8,20.4,2.6
性別男性,852,649,67,456,126,182,21,852,668,90,440,138,163,21
性別男性,100.0,76.2,7.9,53.5,14.8,21.4,2.5,100.0,78.4,10.6,51.6,16.2,19.1,2.5
性別女性,971,707,48,536,123,235,29,971,737,70,517,150,208,26
性別女性,100.0,72.8,4.9,55.2,12.7,24.2,3.0,100.0,75.9,7.2,53.2,15.4,21.4,2.7
年齢別18歳,7,4,-,4,-,3,-,7,5,-,4,1,2,-
年齢別18歳,100.0,57.1,-,57.1,-,42.9,-,100.0,71.4,-,57.1,14.3,28.6,-
年齢別19歳,20,7,-,6,1,11,2,20,9,-,6,3,9,2
年齢別19歳,100.0,35.0,-,30.0,5.0,55.0,10.0,100.0,45.0,-,30.0,15.0,45.0,10.0
年齢別20歳代,164,75,3,53,19,77,12,164,79,5,50,24,74,11
年齢別20歳代,100.0,45.7,1.8,32.3,11.6,47.0,7.3,100.0,48.2,3.0,30.5,14.6,45.1,6.7
年齢別30歳代,257,182,8,134,40,73,2,257,191,17,125,49,66,-
年齢別30歳代,100.0,70.8,3.1,52.1,15.6,28.4,0.8,100.0,74.3,6.6,48.6,19.1,25.7,-
年齢別40歳代,398,321,21,239,61,73,4,398,337,32,237,68,57,4
年齢別40歳代,100.0,80.7,5.3,60.1,15.3,18.3,1.0,100.0,84.7,8.0,59.5,17.1,14.3,1.0
年齢別50歳代,311,253,20,185,48,56,2,311,258,28,175,55,52,1
年齢別50歳代,100.0,81.4,6.4,59.5,15.4,18.0,0.6,100.0,83.0,9.0,56.3,17.7,16.7,0.3
年齢別60歳代,337,284,35,208,41,49,4,337,292,43,200,49,42,3
年齢別60歳代,100.0,84.3,10.4,61.7,12.2,14.5,1.2,100.0,86.6,12.8,59.3,14.5,12.5,0.9
年齢別70歳代,231,174,21,125,28,45,12,231,178,28,123,27,40,13
年齢別70歳代,100.0,75.3,9.1,54.1,12.1,19.5,5.2,100.0,77.1,12.1,53.2,11.7,17.3,5.6
年齢別80歳以上,98,56,7,38,11,30,12,98,56,7,37,12,29,13
年齢別80歳以上,100.0,57.1,7.1,38.8,11.2,30.6,12.2,100.0,57.1,7.1,37.8,12.2,29.6,13.3
性/年齢別男性18歳,1,1,-,1,-,-,-,1,1,-,1,-,-,-
性/年齢別男性18歳,100.0,100.0,-,100.0,-,-,-,100.0,100.0,-,100.0,-,-,-
性/年齢別男性19歳,12,5,-,4,1,6,1,12,6,-,4,2,5,1
性/年齢別男性19歳,100.0,41.7,-,33.3,8.3,50.0,8.3,100.0,50.0,-,33.3,16.7,41.7,8.3
性/年齢別男性20歳代,83,34,1,22,11,41,8,83,36,1,23,12,40,7
性/年齢別男性20歳代,100.0,41.0,1.2,26.5,13.3,49.4,9.6,100.0,43.4,1.2,27.7,14.5,48.2,8.4
性/年齢別男性30歳代,122,93,4,69,20,29,-,122,97,9,62,26,25,-
性/年齢別男性30歳代,100.0,76.2,3.3,56.6,16.4,23.8,-,100.0,79.5,7.4,50.8,21.3,20.5,-
性/年齢別男性40歳代,170,140,17,94,29,29,1,170,145,21,94,30,24,1
性/年齢別男性40歳代,100.0,82.4,10.0,55.3,17.1,17.1,0.6,100.0,85.3,12.4,55.3,17.6,14.1,0.6
性/年齢別男性50歳代,152,127,10,91,26,24,1,152,131,15,87,29,20,1
性/年齢別男性50歳代,100.0,83.6,6.6,59.9,17.1,15.8,0.7,100.0,86.2,9.9,57.2,19.1,13.2,0.7
性/年齢別男性60歳代,157,137,20,98,19,18,2,157,139,26,91,22,16,2
性/年齢別男性60歳代,100.0,87.3,12.7,62.4,12.1,11.5,1.3,100.0,88.5,16.6,58.0,14.0,10.2,1.3
性/年齢別男性70歳代,107,85,12,59,14,18,4,107,86,15,60,11,16,5
性/年齢別男性70歳代,100.0,79.4,11.2,55.1,13.1,16.8,3.7,100.0,80.4,14.0,56.1,10.3,15.0,4.7
性/年齢別男性80歳以上,48,27,3,18,6,17,4,48,27,3,18,6,17,4
性/年齢別男性80歳以上,100.0,56.3,6.3,37.5,12.5,35.4,8.3,100.0,56.3,6.3,37.5,12.5,35.4,8.3
性/年齢別女性18歳,6,3,-,3,-,3,-,6,4,-,3,1,2,-
性/年齢別女性18歳,100.0,50.0,-,50.0,-,50.0,-,100.0,66.7,-,50.0,16.7,33.3,-
性/年齢別女性19歳,8,2,-,2,-,5,1,8,3,-,2,1,4,1
性/年齢別女性19歳,100.0,25.0,-,25.0,-,62.5,12.5,100.0,37.5,-,25.0,12.5,50.0,12.5
性/年齢別女性20歳代,81,41,2,31,8,36,4,81,43,4,27,12,34,4
性/年齢別女性20歳代,100.0,50.6,2.5,38.3,9.9,44.4,4.9,100.0,53.1,4.9,33.3,14.8,42.0,4.9
性/年齢別女性30歳代,135,89,4,65,20,44,2,135,94,8,63,23,41,-
性/年齢別女性30歳代,100.0,65.9,3.0,48.1,14.8,32.6,1.5,100.0,69.6,5.9,46.7,17.0,30.4,-
性/年齢別女性40歳代,228,181,4,145,32,44,3,228,192,11,143,38,33,3
