,調査数,テレビ・ラジオの選挙報道,新聞・雑誌などの選挙報道,選挙公報,候補者等のポスター,テレビ・ラジオの政見放送・経歴放送,候補者等の新聞広告,候補者等の街頭演説,候補者等の選挙運動用自動車からの連呼,候補者の個人演説会,候補者のはがき・候補者等のビラ,各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,候補者のホームページ、ツイッター等のネット上の情報,候補者以外のホームページ、ツイッター等のネット上の情報,政党・候補者の後援会などからの推薦,各種団体からの推薦,家族、友人、知人からの勧め,その他,どれにも接していない,役立ったものはない,わからない、忘れた,無回答
全体実数,1246,605,468,413,242,195,103,138,35,43,59,100,74,69,79,20,108,20,14,92,23,12
全体（％）,100.0,48.6,37.6,33.1,19.4,15.7,8.3,11.1,2.8,3.5,4.7,8.0,5.9,5.5,6.3,1.6,8.7,1.6,1.1,7.4,1.8,1.0
性別男性実数,617,313,254,202,121,107,51,66,16,18,37,54,42,41,43,9,37,10,6,49,11,3
性別男性（％）,100.0,50.7,41.2,32.7,19.6,17.3,8.3,10.7,2.6,2.9,6.0,8.8,6.8,6.6,7.0,1.5,6.0,1.6,1.0,7.9,1.8,0.5
性別女性実数,629,292,214,211,121,88,52,72,19,25,22,46,32,28,36,11,71,10,8,43,12,9
性別女性（％）,100.0,46.4,34.0,33.5,19.2,14.0,8.3,11.4,3.0,4.0,3.5,7.3,5.1,4.5,5.7,1.7,11.3,1.6,1.3,6.8,1.9,1.4
年齢別20歳代実数,91,42,32,27,15,10,6,5,1,1,2,10,12,18,4,1,10,-,1,8,1,-
年齢別20歳代（％）,100.0,46.2,35.2,29.7,16.5,11.0,6.6,5.5,1.1,1.1,2.2,11.0,13.2,19.8,4.4,1.1,11.0,-,1.1,8.8,1.1,-
年齢別30歳代実数,161,77,39,43,23,13,3,18,2,1,3,5,19,14,4,1,14,1,3,18,9,2
年齢別30歳代（％）,100.0,47.8,24.2,26.7,14.3,8.1,1.9,11.2,1.2,0.6,1.9,3.1,11.8,8.7,2.5,0.6,8.7,0.6,1.9,11.2,5.6,1.2
年齢別40歳代実数,247,127,85,79,52,34,14,26,8,6,10,19,21,21,6,4,20,4,3,13,7,5
年齢別40歳代（％）,100.0,51.4,34.4,32.0,21.1,13.8,5.7,10.5,3.2,2.4,4.0,7.7,8.5,8.5,2.4,1.6,8.1,1.6,1.2,5.3,2.8,2.0
年齢別50歳代実数,195,102,94,56,45,29,14,22,2,4,14,13,11,8,15,4,25,2,1,11,2,1
年齢別50歳代（％）,100.0,52.3,48.2,28.7,23.1,14.9,7.2,11.3,1.0,2.1,7.2,6.7,5.6,4.1,7.7,2.1,12.8,1.0,0.5,5.6,1.0,0.5
年齢別60歳代実数,233,117,100,89,49,47,33,29,7,11,11,25,7,6,22,5,15,5,3,19,2,2
年齢別60歳代（％）,100.0,50.2,42.9,38.2,21.0,20.2,14.2,12.4,3.0,4.7,4.7,10.7,3.0,2.6,9.4,2.1,6.4,2.1,1.3,8.2,0.9,0.9
年齢別70歳代実数,239,107,93,82,46,45,26,29,12,15,16,22,3,2,22,4,19,5,2,18,1,1
年齢別70歳代（％）,100.0,44.8,38.9,34.3,19.2,18.8,10.9,12.1,5.0,6.3,6.7,9.2,1.3,0.8,9.2,1.7,7.9,2.1,0.8,7.5,0.4,0.4
年齢別80歳以上実数,80,33,25,37,12,17,7,9,3,5,3,6,1,-,6,1,5,3,1,5,1,1
年齢別80歳以上（％）,100.0,41.3,31.3,46.3,15.0,21.3,8.8,11.3,3.8,6.3,3.8,7.5,1.3,-,7.5,1.3,6.3,3.8,1.3,6.3,1.3,1.3
性/年齢別男性20歳代実数,49,21,16,16,6,6,3,3,-,-,-,3,7,10,3,1,4,-,-,6,1,-
性/年齢別男性20歳代（％）,100.0,42.9,32.7,32.7,12.2,12.2,6.1,6.1,-,-,-,6.1,14.3,20.4,6.1,2.0,8.2,-,-,12.2,2.0,-
性/年齢別男性30歳代実数,75,39,19,21,12,5,1,11,1,-,3,3,13,8,-,-,7,-,1,9,5,-
性/年齢別男性30歳代（％）,100.0,52.0,25.3,28.0,16.0,6.7,1.3,14.7,1.3,-,4.0,4.0,17.3,10.7,-,-,9.3,-,1.3,12.0,6.7,-
性/年齢別男性40歳代実数,116,64,44,36,23,16,7,10,2,1,6,8,7,12,3,2,5,3,1,6,2,1
性/年齢別男性40歳代（％）,100.0,55.2,37.9,31.0,19.8,13.8,6.0,8.6,1.7,0.9,5.2,6.9,6.0,10.3,2.6,1.7,4.3,2.6,0.9,5.2,1.7,0.9
性/年齢別男性50歳代実数,107,62,56,26,22,20,7,13,1,2,8,9,7,6,8,2,10,1,1,6,1,1
性/年齢別男性50歳代（％）,100.0,57.9,52.3,24.3,20.6,18.7,6.5,12.1,0.9,1.9,7.5,8.4,6.5,5.6,7.5,1.9,9.3,0.9,0.9,5.6,0.9,0.9
性/年齢別男性60歳代実数,117,61,58,42,27,28,18,11,4,5,7,13,5,3,14,3,4,3,2,12,1,1
性/年齢別男性60歳代（％）,100.0,52.1,49.6,35.9,23.1,23.9,15.4,9.4,3.4,4.3,6.0,11.1,4.3,2.6,12.0,2.6,3.4,2.6,1.7,10.3,0.9,0.9
性/年齢別男性70歳代実数,116,51,49,43,24,24,12,12,7,7,11,14,3,2,12,1,6,1,1,8,1,-
性/年齢別男性70歳代（％）,100.0,44.0,42.2,37.1,20.7,20.7,10.3,10.3,6.0,6.0,9.5,12.1,2.6,1.7,10.3,0.9,5.2,0.9,0.9,6.9,0.9,-
性/年齢別男性80歳以上実数,37,15,12,18,7,8,3,6,1,3,2,4,-,-,3,-,1,2,-,2,-,-
性/年齢別男性80歳以上（％）,100.0,40.5,32.4,48.6,18.9,21.6,8.1,16.2,2.7,8.1,5.4,10.8,-,-,8.1,-,2.7,5.4,-,5.4,-,-
性/年齢別女性20歳代実数,42,21,16,11,9,4,3,2,1,1,2,7,5,8,1,-,6,-,1,2,-,-
性/年齢別女性20歳代（％）,100.0,50.0,38.1,26.2,21.4,9.5,7.1,4.8,2.4,2.4,4.8,16.7,11.9,19.0,2.4,-,14.3,-,2.4,4.8,-,-
性/年齢別女性30歳代実数,86,38,20,22,11,8,2,7,1,1,-,2,6,6,4,1,7,1,2,9,4,2
性/年齢別女性30歳代（％）,100.0,44.2,23.3,25.6,12.8,9.3,2.3,8.1,1.2,1.2,-,2.3,7.0,7.0,4.7,1.2,8.1,1.2,2.3,10.5,4.7,2.3
性/年齢別女性40歳代実数,131,63,41,43,29,18,7,16,6,5,4,11,14,9,3,2,15,1,2,7,5,4
性/年齢別女性40歳代（％）,100.0,48.1,31.3,32.8,22.1,13.7,5.3,12.2,4.6,3.8,3.1,8.4,10.7,6.9,2.3,1.5,11.5,0.8,1.5,5.3,3.8,3.1
性/年齢別女性50歳代実数,88,40,38,30,23,9,7,9,1,2,6,4,4,2,7,2,15,1,-,5,1,-
性/年齢別女性50歳代（％）,100.0,45.5,43.2,34.1,26.1,10.2,8.0,10.2,1.1,2.3,6.8,4.5,4.5,2.3,8.0,2.3,17.0,1.1,-,5.7,1.1,-
性/年齢別女性60歳代実数,116,56,42,47,22,19,15,18,3,6,4,12,2,3,8,2,11,2,1,7,1,1
性/年齢別女性60歳代（％）,100.0,48.3,36.2,40.5,19.0,16.4,12.9,15.5,2.6,5.2,3.4,10.3,1.7,2.6,6.9,1.7,9.5,1.7,0.9,6.0,0.9,0.9
性/年齢別女性70歳代実数,123,56,44,39,22,21,14,17,5,8,5,8,-,-,10,3,13,4,1,10,-,1
性/年齢別女性70歳代（％）,100.0,45.5,35.8,31.7,17.9,17.1,11.4,13.8,4.1,6.5,4.1,6.5,-,-,8.1,2.4,10.6,3.3,0.8,8.1,-,0.8
性/年齢別女性80歳以上実数,43,18,13,19,5,9,4,3,2,2,1,2,1,-,3,1,4,1,1,3,1,1
性/年齢別女性80歳以上（％）,100.0,41.9,30.2,44.2,11.6,20.9,9.3,7.0,4.7,4.7,2.3,4.7,2.3,-,7.0,2.3,9.3,2.3,2.3,7.0,2.3,2.3
未・既婚別未婚実数,248,112,84,73,49,32,15,29,3,7,10,22,23,24,16,4,19,1,5,23,4,2
未・既婚別未婚（％）,100.0,45.2,33.9,29.4,19.8,12.9,6.0,11.7,1.2,2.8,4.0,8.9,9.3,9.7,6.5,1.6,7.7,0.4,2.0,9.3,1.6,0.8
未・既婚別既婚（死別・離別を含む）実数,991,489,383,339,193,163,88,108,32,36,49,78,50,44,63,16,89,19,9,69,19,9
未・既婚別既婚（死別・離別を含む）（％）,100.0,49.3,38.6,34.2,19.5,16.4,8.9,10.9,3.2,3.6,4.9,7.9,5.0,4.4,6.4,1.6,9.0,1.9,0.9,7.0,1.9,0.9
子供の有無別子供はいない実数,392,188,141,120,72,58,23,44,8,10,15,39,36,39,27,4,30,3,8,35,5,4
子供の有無別子供はいない（％）,100.0,48.0,36.0,30.6,18.4,14.8,5.9,11.2,2.0,2.6,3.8,9.9,9.2,9.9,6.9,1.0,7.7,0.8,2.0,8.9,1.3,1.0
子供の有無別未就学（～６歳）実数,117,59,30,36,24,9,5,10,2,2,6,4,10,8,-,1,15,2,-,11,5,1
子供の有無別未就学（～６歳）（％）,100.0,50.4,25.6,30.8,20.5,7.7,4.3,8.5,1.7,1.7,5.1,3.4,8.5,6.8,-,0.9,12.8,1.7,-,9.4,4.3,0.9
子供の有無別小・中・高校生実数,195,91,68,60,38,20,11,14,4,1,9,7,14,13,9,3,20,-,3,15,8,3
子供の有無別小・中・高校生（％）,100.0,46.7,34.9,30.8,19.5,10.3,5.6,7.2,2.1,0.5,4.6,3.6,7.2,6.7,4.6,1.5,10.3,-,1.5,7.7,4.1,1.5
子供の有無別大学生・大学院生・短大生・専門学校生実数,78,40,39,26,16,11,8,5,2,4,3,2,3,1,4,2,8,1,1,4,3,1
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,51.3,50.0,33.3,20.5,14.1,10.3,6.4,2.6,5.1,3.8,2.6,3.8,1.3,5.1,2.6,10.3,1.3,1.3,5.1,3.8,1.3
子供の有無別学校教育終了実数,547,261,214,197,107,101,61,68,20,29,34,47,14,10,43,12,46,14,3,36,8,4
子供の有無別学校教育終了（％）,100.0,47.7,39.1,36.0,19.6,18.5,11.2,12.4,3.7,5.3,6.2,8.6,2.6,1.8,7.9,2.2,8.4,2.6,0.5,6.6,1.5,0.7
子供の有無別その他実数,5,5,5,3,2,4,2,1,1,-,-,2,-,-,-,-,-,-,-,-,-,-
子供の有無別その他（％）,100.0,100.0,100.0,60.0,40.0,80.0,40.0,20.0,20.0,-,-,40.0,-,-,-,-,-,-,-,-,-,-
職業別自営業（計）実数,108,49,41,39,23,23,11,13,7,2,6,9,10,8,12,3,10,2,3,5,2,-
職業別自営業（計）（％）,100.0,45.4,38.0,36.1,21.3,21.3,10.2,12.0,6.5,1.9,5.6,8.3,9.3,7.4,11.1,2.8,9.3,1.9,2.8,4.6,1.9,-
職業別農林漁業実数,2,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-
職業別農林漁業（％）,100.0,-,50.0,-,-,-,-,50.0,50.0,-,-,-,-,-,-,-,50.0,-,-,-,-,-
職業別商工・サービス業実数,67,31,26,27,14,18,5,9,3,1,4,8,3,3,9,2,4,1,3,4,-,-
職業別商工・サービス業（％）,100.0,46.3,38.8,40.3,20.9,26.9,7.5,13.4,4.5,1.5,6.0,11.9,4.5,4.5,13.4,3.0,6.0,1.5,4.5,6.0,-,-
職業別その他自由業実数,39,18,14,12,9,5,6,3,3,1,2,1,7,5,3,1,5,1,-,1,2,-
職業別その他自由業（％）,100.0,46.2,35.9,30.8,23.1,12.8,15.4,7.7,7.7,2.6,5.1,2.6,17.9,12.8,7.7,2.6,12.8,2.6,-,2.6,5.1,-
職業別お勤め（計）実数,612,316,235,180,114,79,42,62,8,14,24,49,46,48,34,9,50,8,7,45,15,7
職業別お勤め（計）（％）,100.0,51.6,38.4,29.4,18.6,12.9,6.9,10.1,1.3,2.3,3.9,8.0,7.5,7.8,5.6,1.5,8.2,1.3,1.1,7.4,2.5,1.1
