,ｎ,テレビ・ラジオの選挙報道（％）,新聞・雑誌などの選挙報道（％）,選挙公報（％）,候補者等のポスター（％）,テレビ・ラジオの政見放送・経歴放送（％）,候補者等の街頭演説（％）,候補者等の新聞広告（％）,候補者等の選挙運動用自動車からの連呼（％）,,
全体,1491,85.0,50.8,35.4,28.0,22.1,16.1,15.7,7.5,,
職業別自営業,125,80.0,56.8,35.2,21.6,29.6,12.8,14.4,2.4,,
職業別勤め人,646,85.4,45.7,31.7,33.9,21.5,18.0,15.9,8.7,,
職業別学生,28,57.1,28.6,17.9,10.7,17.9,10.7,7.1,3.6,,
職業別専業主婦(夫),354,90.7,53.4,37.9,27.4,21.5,18.6,17.2,8.2,,
職業別その他,19,68.4,31.6,26.3,21.1,21.1,-,5.3,-,,
職業別無職(年金受給者含む),319,83.1,58.9,42.3,21.0,21.6,12.2,15.4,7.2,,
選挙への関心度別関心があった(計),1337,86.1,54.1,38.5,27.7,23.2,16.7,16.2,7.7,,
選挙への関心度別関心がなかった(計),45,57.8,20.0,6.7,13.3,6.7,8.9,2.2,6.7,,
選挙への関心度別どちらともいえない,109,82.6,22.9,9.2,37.6,15.6,11.9,15.6,5.5,,
