,調査数,駅構内、庁舎・公共施設等での選挙広報用ポスター,電車内・駅構内のモニター、街中の大型モニターでの動画広告放映,選挙広報用の新聞広告,都、区市町村の広報誌,ラジオ告知（都民ニュース）,庁舎や公園などの懸垂幕・横断幕,東京都知事選挙イベント（ららぽーと豊洲、ららぽーと立川立飛、東京ソラマチ）,スーパー、コンビニなどの店内放送、防災無線による放送,ポケットティッシュ等の広報グッズ,区市町村の広報車,区市町村の広報掲示板,都及び区市町村のホームページ,都、区市町村、総務省のＳＮＳ（ツイッター等）,インターネットバナー広告（Yahoo!JAPAN・プロモツイート）,その他,見たり聞いたりしたものはない,わからない、忘れた
全体,1823,684,502,399,380,76,86,22,103,41,394,410,38,22,138,9,205,354
全体,100.0,37.5,27.5,21.9,20.8,4.2,4.7,1.2,5.7,2.2,21.6,22.5,2.1,1.2,7.6,0.5,11.2,19.4
性別男性,852,345,262,199,177,35,30,13,31,16,184,190,27,14,91,3,91,161
性別男性,100.0,40.5,30.8,23.4,20.8,4.1,3.5,1.5,3.6,1.9,21.6,22.3,3.2,1.6,10.7,0.4,10.7,18.9
性別女性,971,339,240,200,203,41,56,9,72,25,210,220,11,8,47,6,114,193
性別女性,100.0,34.9,24.7,20.6,20.9,4.2,5.8,0.9,7.4,2.6,21.6,22.7,1.1,0.8,4.8,0.6,11.7,19.9
年齢別18歳,7,1,1,1,-,-,1,-,1,-,-,-,-,-,1,-,1,2
年齢別18歳,100.0,14.3,14.3,14.3,-,-,14.3,-,14.3,-,-,-,-,-,14.3,-,14.3,28.6
年齢別19歳,20,6,3,2,-,-,-,-,-,-,2,1,-,1,1,-,4,8
年齢別19歳,100.0,30.0,15.0,10.0,-,-,-,-,-,-,10.0,5.0,-,5.0,5.0,-,20.0,40.0
年齢別20歳代,164,61,53,13,17,2,4,3,9,6,16,13,1,2,28,-,21,45
年齢別20歳代,100.0,37.2,32.3,7.9,10.4,1.2,2.4,1.8,5.5,3.7,9.8,7.9,0.6,1.2,17.1,-,12.8,27.4
年齢別30歳代,257,118,112,41,48,9,12,4,14,9,67,64,10,5,38,2,18,41
年齢別30歳代,100.0,45.9,43.6,16.0,18.7,3.5,4.7,1.6,5.4,3.5,26.1,24.9,3.9,1.9,14.8,0.8,7.0,16.0
年齢別40歳代,398,173,148,78,82,17,22,7,39,13,105,113,13,8,44,1,43,41
年齢別40歳代,100.0,43.5,37.2,19.6,20.6,4.3,5.5,1.8,9.8,3.3,26.4,28.4,3.3,2.0,11.1,0.3,10.8,10.3
年齢別50歳代,311,127,86,91,72,16,13,3,19,3,78,73,9,2,20,1,31,60
年齢別50歳代,100.0,40.8,27.7,29.3,23.2,5.1,4.2,1.0,6.1,1.0,25.1,23.5,2.9,0.6,6.4,0.3,10.0,19.3
年齢別60歳代,337,121,63,89,92,17,20,3,13,6,73,84,3,2,6,2,45,61
年齢別60歳代,100.0,35.9,18.7,26.4,27.3,5.0,5.9,0.9,3.9,1.8,21.7,24.9,0.9,0.6,1.8,0.6,13.4,18.1
年齢別70歳代,231,57,30,56,50,9,12,2,8,3,45,49,2,2,-,3,32,59
年齢別70歳代,100.0,24.7,13.0,24.2,21.6,3.9,5.2,0.9,3.5,1.3,19.5,21.2,0.9,0.9,-,1.3,13.9,25.5
年齢別80歳以上,98,20,6,28,19,6,2,-,-,1,8,13,-,-,-,-,10,37
年齢別80歳以上,100.0,20.4,6.1,28.6,19.4,6.1,2.0,-,-,1.0,8.2,13.3,-,-,-,-,10.2,37.8
性/年齢別男性18歳,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性18歳,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
