,調査数,利用した,知っているが利用していない,知らない,わからない,無回答
全体,2011,46,149,1606,193,17
全体,100.0,2.3,7.4,79.9,9.6,0.8
性別男性,950,27,76,758,81,8
性別男性,100.0,2.8,8.0,79.8,8.5,0.8
性別女性,1061,19,73,848,112,9
性別女性,100.0,1.8,6.9,79.9,10.6,0.8
年齢20歳代,295,4,10,264,16,1
年齢20歳代,100.0,1.4,3.4,89.5,5.4,0.3
年齢30歳代,355,11,28,290,23,3
年齢30歳代,100.0,3.1,7.9,81.7,6.5,0.8
年齢40歳代,398,7,32,322,34,3
年齢40歳代,100.0,1.8,8.0,80.9,8.5,0.8
年齢50歳代,293,11,30,229,20,3
年齢50歳代,100.0,3.8,10.2,78.2,6.8,1.0
年齢60歳代,327,5,31,258,31,2
年齢60歳代,100.0,1.5,9.5,78.9,9.5,0.6
年齢70歳代,232,6,14,162,47,3
年齢70歳代,100.0,2.6,6.0,69.8,20.3,1.3
年齢80歳以上,90,1,3,65,21,-
年齢80歳以上,100.0,1.1,3.3,72.2,23.3,-
性／年齢別男性20歳代,143,4,7,125,7,-
性／年齢別男性20歳代,100.0,2.8,4.9,87.4,4.9,-
性／年齢別男性30歳代,153,4,14,124,10,1
性／年齢別男性30歳代,100.0,2.6,9.2,81.0,6.5,0.7
性／年齢別男性40歳代,176,5,13,145,11,2
性／年齢別男性40歳代,100.0,2.8,7.4,82.4,6.3,1.1
性／年齢別男性50歳代,148,9,14,119,5,1
性／年齢別男性50歳代,100.0,6.1,9.5,80.4,3.4,0.7
性／年齢別男性60歳代,169,1,20,133,15,-
性／年齢別男性60歳代,100.0,0.6,11.8,78.7,8.9,-
性／年齢別男性70歳代,118,3,5,83,24,3
性／年齢別男性70歳代,100.0,2.5,4.2,70.3,20.3,2.5
性／年齢別男性80歳以上,39,1,3,26,9,-
性／年齢別男性80歳以上,100.0,2.6,7.7,66.7,23.1,-
性／年齢別女性20歳代,152,-,3,139,9,1
性／年齢別女性20歳代,100.0,-,2.0,91.4,5.9,0.7
性／年齢別女性30歳代,202,7,14,166,13,2
性／年齢別女性30歳代,100.0,3.5,6.9,82.2,6.4,1.0
性／年齢別女性40歳代,222,2,19,177,23,1
性／年齢別女性40歳代,100.0,0.9,8.6,79.7,10.4,0.5
性／年齢別女性50歳代,145,2,16,110,15,2
性／年齢別女性50歳代,100.0,1.4,11.0,75.9,10.3,1.4
性／年齢別女性60歳代,158,4,11,125,16,2
性／年齢別女性60歳代,100.0,2.5,7.0,79.1,10.1,1.3
性／年齢別女性70歳代,114,3,9,79,23,-
性／年齢別女性70歳代,100.0,2.6,7.9,69.3,20.2,-
性／年齢別女性80歳以上,51,-,-,39,12,-
性／年齢別女性80歳以上,100.0,-,-,76.5,23.5,-
未・既婚別未婚（死別・離別を含む）,801,23,56,652,65,5
未・既婚別未婚（死別・離別を含む）,100.0,2.9,7.0,81.4,8.1,0.6
未・既婚別既婚,1188,23,92,938,125,10
未・既婚別既婚,100.0,1.9,7.7,79.0,10.5,0.8
子供の有無別子供はいない,779,20,55,645,54,5
子供の有無別子供はいない,100.0,2.6,7.1,82.8,6.9,0.6
子供の有無別未就学（～６歳）,155,4,16,119,14,2
子供の有無別未就学（～６歳）,100.0,2.6,10.3,76.8,9.0,1.3
子供の有無別小・中・高校生,320,7,26,258,29,-
子供の有無別小・中・高校生,100.0,2.2,8.1,80.6,9.1,-
子供の有無別大学生・大学院生・短大生・専門学校生,92,1,12,74,3,2
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,1.1,13.0,80.4,3.3,2.2
