質問,n,デザインが気に入った(%),あまり選挙らしさを感じないので良い(気に入った)(%),目立つ配色やデザインがよい(%),あまり選挙らしさを感じないのは良くない(不満)(%),デザインが気に入らない(%),著名人をキャラクターに立てていないのがさびしい(%),一般のモデルを使っているので親近感が湧く(%),わからない(%)
全体,(2011),16.4,15.5,14.1,13.3,8.1,5.2,4.2,30.2
性別男性,(950),15.1,14.8,13.2,14.6,9.4,5.1,3.8,31.5
性別女性,(1061),17.6,16.1,15.0,12.1,6.9,5.4,4.6,29.0
年齢別20歳代,(295),21.4,19.7,18.3,9.2,6.8,6.4,4.7,27.8
年齢別30歳代,(355),19.2,14.4,15.8,11.8,8.7,5.9,4.2,30.7
年齢別40歳代,(398),21.1,17.3,15.8,14.3,8.5,3.0,5.0,24.4
年齢別50歳代,(293),13.7,12.6,17.1,18.8,7.2,6.5,4.4,27.6
年齢別60歳代,(327),11.9,15.6,10.1,13.8,10.7,5.8,4.0,30.6
年齢別70歳代,(232),10.3,16.4,10.3,10.8,6.0,3.9,2.6,39.2
年齢別80歳以上,(90),11.1,5.6,3.3,13.3,6.7,2.2,1.1,47.8
