質問,ｎ,もともと政治や選挙そのものに関心があったから(%),もともと東京都政や東京都に関する選挙に関心があったから(%),候補者が訴える政策に関心があったから(%),候補者自身に関心があったから(%)
全体,(1170),40.4,37.9,27.6,16.4
性別男性,(556),45.7,37.4,25.9,15.1
性別女性,(614),35.7,38.3,29.2,17.6
年齢別20歳代,(68),41.2,30.9,19.1,23.5
年齢別30歳代,(177),31.6,36.2,28.8,19.8
年齢別40歳代,(252),28.2,37.3,33.3,17.5
年齢別50歳代,(191),42.4,37.7,27.2,12.0
年齢別60歳代,(239),48.1,38.1,27.6,14.2
年齢別70歳代,(168),48.8,42.3,24.4,19.0
年齢別80歳以上,(60),58.3,40.0,21.7,11.7
職業別自営業,(102),37.3,43.1,26.5,20.6
職業別勤め人,(526),36.3,37.5,29.8,15.8
職業別学生,(13),53.8,30.8,23.1,7.7
職業別専業主婦(夫),(270),43.3,33.7,26.7,13.7
職業別その他,(36),19.4,44.4,38.9,44.4
職業別無職,(217),51.2,40.6,22.1,15.2
