質問,今回選挙(n=2011)(%),平成24年都知事選挙(n=1822)(%),備考
テレビ・ラジオの選挙報道,82.6,82.1,
新聞・雑誌などの選挙報道,53.4,55.4,
選挙公報,38.5,62.7,
候補者等のポスター,37.6,78.9,
候補者等の街頭演説,13.6,24.5,
投票所入場(整理)券,11.5,20.4,
候補者の新聞広告,9.0,16.8,
区市町村の広報車,7.1,10.8,
TV・ラジオ・街頭・コンビニレジ・駅構内ビジョンによるCM放映※1,7.0,0,
選挙広報用の新聞広告,6.7,28.2,
家族、友人、知人からの勧め,6.4,13.7,
都及び区市町村の広報紙※2,5.5,0,
候補者等のはがき・ビラ※3,5.2,0,
東京都選挙管理委員会が作成した選挙広報用のポスター,5.2,22.8,
候補者等のホームページやSNS(ツイッターやフェイスブック等)、動画※4,4.1,0,
都及び区市町村のホームページ・フェイスブック・ツイッター・インターネット広告(Yahoo!)※5,2.3,0,
候補者の個人演説会,2.1,7.5,
庁舎や公園などの懸垂幕・横断幕・のぼり旗,1.9,6.3,
政党、候補者の後援会などからの推薦,1.8,7.1,
都知事選メッセージバスキャンペーン※2,0.8,0,
スーパーなどの店内放送・防災無線による放送※6,0.5,0,
その他※2,0.7,0,
どれにも接していない,4.1,3.8,
わからない、忘れた,4.9,0.3,
無回答,0.1,0,
,,,注：※1平成24年は「街頭・駅構内ビジョンによるＣＭ放映」13.3％、「都知事選挙広報用のラジオＣＭ」7.6％、
,,,「コンビニレジ画面の広告」0.7％
,,,※2今回調査で追加
,,,※3平成24年は「候補者等のビラ」15.5％、「候補者のはがき」12.7％
,,,※4平成24年は「候補者のホームページ・ブログ」3.6％、「インターネットの情報（その他）」4.8％
,,,※5平成24年は「インターネット広告（Yahoo!）」3.6％、「国、都及び区市町村のホームページ」2.5％、
,,,「インターネットの情報（その他）」4.8％
,,,※6平成24年は「防災無線による放送」2.1％、「スーパーなどの店内放送」0.4％
