,調査数,当選させたい候補者がいたから,自分の支持する政党の推す候補者を当選させたかったから,都政をよくするためには、投票することが大切だと思ったから,今の政治がよくないので、変えたいと思ったから,自分の関係する団体、組織、知り合いの人に投票を頼まれたから,投票することは、義務であるから,投票することは、権利であるから,当選させたくない候補者がいたから,友人や家族が行くから、なんとなく,投票率が気になったから,テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,インターネット上の情報を見て興味を持ったから,その他,わからない,無回答
全体,999,293,88,566,187,31,409,340,46,42,47,73,13,14,3,3
全体,100.0,29.3,8.8,56.7,18.7,3.1,40.9,34.0,4.6,4.2,4.7,7.3,1.3,1.4,0.3,0.3
性別男性,485,149,51,251,88,12,217,163,28,15,24,29,9,9,2,2
性別男性,100.0,30.7,10.5,51.8,18.1,2.5,44.7,33.6,5.8,3.1,4.9,6.0,1.9,1.9,0.4,0.4
性別女性,514,144,37,315,99,19,192,177,18,27,23,44,4,5,1,1
性別女性,100.0,28.0,7.2,61.3,19.3,3.7,37.4,34.4,3.5,5.3,4.5,8.6,0.8,1.0,0.2,0.2
年齢20歳代,52,13,2,25,8,-,24,22,3,3,-,8,3,1,-,-
年齢20歳代,100.0,25.0,3.8,48.1,15.4,-,46.2,42.3,5.8,5.8,-,15.4,5.8,1.9,-,-
年齢30歳代,145,45,9,72,29,4,48,57,10,8,6,11,4,3,-,-
年齢30歳代,100.0,31.0,6.2,49.7,20.0,2.8,33.1,39.3,6.9,5.5,4.1,7.6,2.8,2.1,-,-
年齢40歳代,217,53,11,130,30,1,83,71,8,13,10,13,2,3,-,-
年齢40歳代,100.0,24.4,5.1,59.9,13.8,0.5,38.2,32.7,3.7,6.0,4.6,6.0,0.9,1.4,-,-
年齢50歳代,178,52,14,102,44,11,68,52,7,6,9,13,3,1,1,-
年齢50歳代,100.0,29.2,7.9,57.3,24.7,6.2,38.2,29.2,3.9,3.4,5.1,7.3,1.7,0.6,0.6,-
年齢60歳代,213,68,24,126,44,8,94,82,9,5,9,13,1,5,-,2
年齢60歳代,100.0,31.9,11.3,59.2,20.7,3.8,44.1,38.5,4.2,2.3,4.2,6.1,0.5,2.3,-,0.9
年齢70歳代,151,50,20,86,26,6,70,42,7,6,10,12,-,-,2,-
年齢70歳代,100.0,33.1,13.2,57.0,17.2,4.0,46.4,27.8,4.6,4.0,6.6,7.9,-,-,1.3,-
年齢80歳以上,36,11,8,20,5,1,18,11,2,1,2,2,-,1,-,-
年齢80歳以上,100.0,30.6,22.2,55.6,13.9,2.8,50.0,30.6,5.6,2.8,5.6,5.6,-,2.8,-,-
性/年齢別男性20歳代,28,9,1,14,4,-,13,12,1,3,-,6,2,1,-,-
性/年齢別男性20歳代,100.0,32.1,3.6,50.0,14.3,-,46.4,42.9,3.6,10.7,-,21.4,7.1,3.6,-,-
性/年齢別男性30歳代,66,18,2,33,15,1,22,28,5,3,3,5,2,-,-,-
性/年齢別男性30歳代,100.0,27.3,3.0,50.0,22.7,1.5,33.3,42.4,7.6,4.5,4.5,7.6,3.0,-,-,-
性/年齢別男性40歳代,92,25,7,46,11,1,37,29,5,4,5,2,2,3,-,-
性/年齢別男性40歳代,100.0,27.2,7.6,50.0,12.0,1.1,40.2,31.5,5.4,4.3,5.4,2.2,2.2,3.3,-,-
性/年齢別男性50歳代,93,29,13,46,18,6,40,22,4,3,5,6,2,1,1,-
性/年齢別男性50歳代,100.0,31.2,14.0,49.5,19.4,6.5,43.0,23.7,4.3,3.2,5.4,6.5,2.2,1.1,1.1,-
性/年齢別男性60歳代,110,32,13,65,22,2,58,42,6,1,6,6,1,4,-,1
性/年齢別男性60歳代,100.0,29.1,11.8,59.1,20.0,1.8,52.7,38.2,5.5,0.9,5.5,5.5,0.9,3.6,-,0.9
性/年齢別男性70歳代,75,30,10,39,15,1,35,23,5,1,4,3,-,-,1,-
性/年齢別男性70歳代,100.0,40.0,13.3,52.0,20.0,1.3,46.7,30.7,6.7,1.3,5.3,4.0,-,-,1.3,-
性/年齢別男性80歳以上,20,6,5,8,3,1,12,7,2,-,1,1,-,-,-,-
性/年齢別男性80歳以上,100.0,30.0,25.0,40.0,15.0,5.0,60.0,35.0,10.0,-,5.0,5.0,-,-,-,-
性/年齢別女性20歳代,24,4,1,11,4,-,11,10,2,-,-,2,1,-,-,-
性/年齢別女性20歳代,100.0,16.7,4.2,45.8,16.7,-,45.8,41.7,8.3,-,-,8.3,4.2,-,-,-
性/年齢別女性30歳代,79,27,7,39,14,3,26,29,5,5,3,6,2,3,-,-
性/年齢別女性30歳代,100.0,34.2,8.9,49.4,17.7,3.8,32.9,36.7,6.3,6.3,3.8,7.6,2.5,3.8,-,-
性/年齢別女性40歳代,125,28,4,84,19,-,46,42,3,9,5,11,-,-,-,-
性/年齢別女性40歳代,100.0,22.4,3.2,67.2,15.2,-,36.8,33.6,2.4,7.2,4.0,8.8,-,-,-,-
性/年齢別女性50歳代,85,23,1,56,26,5,28,30,3,3,4,7,1,-,-,-
性/年齢別女性50歳代,100.0,27.1,1.2,65.9,30.6,5.9,32.9,35.3,3.5,3.5,4.7,8.2,1.2,-,-,-
性/年齢別女性60歳代,103,36,11,61,22,6,36,40,3,4,3,7,-,1,-,1
性/年齢別女性60歳代,100.0,35.0,10.7,59.2,21.4,5.8,35.0,38.8,2.9,3.9,2.9,6.8,-,1,-,1.0
性/年齢別女性70歳代,76,20,10,47,11,5,35,19,2,5,6,9,-,-,1,-
性/年齢別女性70歳代,100.0,26.3,13.2,61.8,14.5,6.6,46.1,25.0,2.6,6.6,7.9,11.8,-,-,1.3,-
性/年齢別女性80歳以上,16,5,3,12,2,-,6,4,-,1,1,1,-,1,-,-
性/年齢別女性80歳以上,100.0,31.3,18.8,75.0,12.5,-,37.5,25.0,-,6.3,6.3,6.3,-,6.3,-,-
